c,margin_cap,conf_gap,max_rows,require_meta_or_cav,protect_all_logic,oof_qwk,oof_lift_vs_step25,test_l1,changed,improved,worsened,mean_delta_abs_error,protected_demotions,public_changed,private_changed,pub_dist,pri_dist
2.0,0.015,0.08,10,False,False,0.6618453102521344,0.0005847518729015233,0.14890771408427203,10,6,4,0.2,3,3,1,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
0.5,0.015,0.06,10,False,False,0.6617745789519989,0.0005140205727659497,0.15897482817823178,10,6,4,0.2,2,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 67, 3: 41, 4: 32, 5: 23}"
1.0,0.015,0.06,10,False,False,0.6617745789519989,0.0005140205727659497,0.16568623757420492,10,6,4,0.2,2,6,5,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 66, 3: 41, 4: 32, 5: 23}"
2.0,0.015,0.06,10,False,False,0.6617745789519989,0.0005140205727659497,0.16568623757420495,10,6,4,0.2,2,6,6,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 65, 3: 41, 4: 32, 5: 23}"
1.0,0.025,0.04,12,False,True,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
1.0,0.025,0.04,12,True,True,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
1.0,0.025,0.04,12,True,False,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.04,12,False,True,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.04,12,True,True,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.04,12,True,False,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.06,12,False,True,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.06,12,True,True,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.06,12,True,False,0.6617592288955894,0.0004986705163564364,0.16233053287621832,12,7,5,0.16666666666666666,0,5,6,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 64, 3: 43, 4: 31, 5: 23}"
1.0,0.025,0.06,12,False,True,0.6617592288955894,0.0004986705163564364,0.16233053287621835,12,7,5,0.16666666666666666,0,5,5,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 65, 3: 43, 4: 31, 5: 23}"
1.0,0.025,0.06,12,True,True,0.6617592288955894,0.0004986705163564364,0.16233053287621835,12,7,5,0.16666666666666666,0,5,5,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 65, 3: 43, 4: 31, 5: 23}"
1.0,0.025,0.06,12,True,False,0.6617592288955894,0.0004986705163564364,0.16233053287621835,12,7,5,0.16666666666666666,0,5,5,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 65, 3: 43, 4: 31, 5: 23}"
2.0,0.025,0.06,12,False,False,0.6617592288955894,0.0004986705163564364,0.16568623757420495,12,7,5,0.16666666666666666,1,6,9,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 139, 2: 63, 3: 42, 4: 31, 5: 23}"
1.0,0.025,0.06,12,False,False,0.6617592288955894,0.0004986705163564364,0.16568623757420498,12,7,5,0.16666666666666666,1,6,8,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 138, 2: 64, 3: 42, 4: 31, 5: 23}"
2.0,0.015,0.08,8,False,False,0.6617130124040022,0.00045245402476923324,0.14890771408427203,8,5,3,0.25,2,3,1,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.1,3,False,True,0.6616990523245885,0.00043849394535555586,0.14555200938628546,3,3,0,1.0,0,1,0,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.1,3,False,False,0.6616990523245885,0.00043849394535555586,0.14555200938628546,3,3,0,1.0,0,1,0,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.1,3,True,True,0.6616990523245885,0.00043849394535555586,0.14555200938628546,3,3,0,1.0,0,1,0,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.1,3,True,False,0.6616990523245885,0.00043849394535555586,0.14555200938628546,3,3,0,1.0,0,1,0,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,3,False,True,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,3,False,False,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,3,True,True,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,3,True,False,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.025,0.1,3,False,True,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.025,0.1,3,False,False,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.025,0.1,3,True,True,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.025,0.1,3,True,False,0.6616990523245885,0.00043849394535555586,0.14555200938628549,3,3,0,1.0,0,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.04,12,False,False,0.6616883739201844,0.00042781554095150387,0.16568623757420495,12,7,5,0.16666666666666666,1,6,9,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 139, 2: 63, 3: 42, 4: 31, 5: 23}"
2.0,0.015,0.1,4,False,False,0.6616637610423993,0.0004032026631664021,0.14555200938628549,4,3,1,0.5,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.1,5,False,False,0.6616637610423993,0.0004032026631664021,0.14555200938628549,4,3,1,0.5,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.1,6,False,False,0.6616637610423993,0.0004032026631664021,0.14555200938628549,4,3,1,0.5,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.1,8,False,False,0.6616637610423993,0.0004032026631664021,0.14555200938628549,4,3,1,0.5,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.1,10,False,False,0.6616637610423993,0.0004032026631664021,0.14555200938628549,4,3,1,0.5,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.1,12,False,False,0.6616637610423993,0.0004032026631664021,0.14555200938628549,4,3,1,0.5,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.015,0.06,8,False,True,0.6616422257421695,0.00038166736293654413,0.1556191234802452,8,5,3,0.25,0,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
0.5,0.015,0.06,8,True,True,0.6616422257421695,0.00038166736293654413,0.1556191234802452,8,5,3,0.25,0,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
0.5,0.015,0.06,8,True,False,0.6616422257421695,0.00038166736293654413,0.1556191234802452,8,5,3,0.25,0,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
2.0,0.015,0.06,8,False,True,0.6616422257421695,0.00038166736293654413,0.16233053287621835,8,5,3,0.25,0,5,3,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 135, 2: 66, 3: 42, 4: 32, 5: 23}"
2.0,0.015,0.06,8,True,True,0.6616422257421695,0.00038166736293654413,0.16233053287621835,8,5,3,0.25,0,5,3,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 135, 2: 66, 3: 42, 4: 32, 5: 23}"
2.0,0.015,0.06,8,True,False,0.6616422257421695,0.00038166736293654413,0.16233053287621835,8,5,3,0.25,0,5,3,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 135, 2: 66, 3: 42, 4: 32, 5: 23}"
1.0,0.015,0.06,8,False,True,0.6616422257421695,0.00038166736293654413,0.16233053287621838,8,5,3,0.25,0,5,2,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
1.0,0.015,0.06,8,True,True,0.6616422257421695,0.00038166736293654413,0.16233053287621838,8,5,3,0.25,0,5,2,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
1.0,0.015,0.06,8,True,False,0.6616422257421695,0.00038166736293654413,0.16233053287621838,8,5,3,0.25,0,5,2,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
0.5,0.025,0.06,10,False,True,0.6616298656033075,0.0003693072240745776,0.1556191234802452,10,6,4,0.2,0,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
0.5,0.025,0.06,10,True,True,0.6616298656033075,0.0003693072240745776,0.1556191234802452,10,6,4,0.2,0,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
0.5,0.025,0.06,10,True,False,0.6616298656033075,0.0003693072240745776,0.1556191234802452,10,6,4,0.2,0,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 67, 3: 42, 4: 32, 5: 23}"
0.5,0.025,0.06,10,False,False,0.6616298656033075,0.0003693072240745776,0.15897482817823178,10,6,4,0.2,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 67, 3: 41, 4: 32, 5: 23}"
0.5,0.015,0.04,12,False,False,0.6616269926820288,0.00036643430279592604,0.16568623757420495,12,6,6,0.0,3,6,6,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 65, 3: 41, 4: 32, 5: 23}"
1.0,0.015,0.04,12,False,False,0.6616269926820288,0.00036643430279592604,0.16568623757420495,12,6,6,0.0,3,6,6,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 65, 3: 41, 4: 32, 5: 23}"
2.0,0.015,0.04,12,False,False,0.6616269926820288,0.00036643430279592604,0.16568623757420495,12,6,6,0.0,3,6,6,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 137, 2: 65, 3: 41, 4: 32, 5: 23}"
2.0,0.015,0.08,12,False,False,0.6615977946097447,0.00033723623051173934,0.14890771408427203,11,6,5,0.09090909090909091,3,3,1,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
0.5,0.015,0.08,6,False,False,0.6615838023503925,0.00032324397115957026,0.14555200938628549,6,4,2,0.3333333333333333,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.015,0.08,8,False,False,0.6615838023503925,0.00032324397115957026,0.14555200938628549,6,4,2,0.3333333333333333,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.015,0.08,10,False,False,0.6615838023503925,0.00032324397115957026,0.14555200938628549,6,4,2,0.3333333333333333,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.015,0.08,12,False,False,0.6615838023503925,0.00032324397115957026,0.14555200938628549,6,4,2,0.3333333333333333,2,2,0,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.08,6,False,False,0.6615806109963362,0.000320052617103328,0.14890771408427203,6,4,2,0.3333333333333333,0,3,1,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.08,6,False,True,0.6615806109963362,0.000320052617103328,0.14890771408427206,6,4,2,0.3333333333333333,0,3,0,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.08,6,True,True,0.6615806109963362,0.000320052617103328,0.14890771408427206,6,4,2,0.3333333333333333,0,3,0,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
2.0,0.015,0.08,6,True,False,0.6615806109963362,0.000320052617103328,0.14890771408427206,6,4,2,0.3333333333333333,0,3,0,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.015,0.08,8,False,False,0.6615746066645102,0.0003140482852772575,0.1483452904420273,8,5,3,0.25,2,2,1,"{1: 125, 2: 58, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,5,False,True,0.6615514012026789,0.00029084282344593593,0.14555200938628549,5,4,1,0.6,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,5,False,False,0.6615514012026789,0.00029084282344593593,0.14555200938628549,5,4,1,0.6,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,5,True,True,0.6615514012026789,0.00029084282344593593,0.14555200938628549,5,4,1,0.6,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.025,0.1,5,True,False,0.6615514012026789,0.00029084282344593593,0.14555200938628549,5,4,1,0.6,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
