id,score
979,4.999919185620326
1106,2.20377125316021
1894,1.9862718645849609
1718,2.1172644427605696
1989,2.224741737012299
2010,1.7817071892420175
2356,1.9483606541886451
1179,1.9966311479279326
3001,1.920595573270012
796,2.616283869152937
1771,2.20648981451516
986,2.1503230925606385
1725,1.7137415188394198
1296,3.8034881188376466
2983,1.8090899297660152
2666,2.4644850377124836
2573,2.239103777372278
1999,2.9273635173961368
1828,1.5989686115287214
1877,3.6816956945917503
2087,2.6155741494159175
1581,1.8178760732981858
1185,4.4161302014762
1873,2.242639018506091
952,2.5789172486467913
2572,1.8791419764857316
1835,3.438610582174649
1320,1.88649153932768
2083,3.104595428099552
1310,2.211297501285745
1053,3.230100836286331
1698,2.170310510957058
1372,2.919410529342297
2847,1.902843037004414
2537,2.6493455810347952
2808,2.1330286073973412
1311,2.3502367950574214
2863,1.9168623189663812
3085,1.9212543831211892
1265,2.672019565043548
2446,1.7369629150872217
2186,2.348385012256218
2898,2.493597229895408
2529,2.402912401545276
2810,1.5908429194711093
997,2.1436991028757926
2836,1.8142964027063655
2194,2.096940661423548
1964,2.5683772535836944
910,4.047515604358828
2032,1.9143488433645064
1405,3.508711401409591
1305,3.6285308278916877
799,2.9566070947585192
1145,3.4384553565654468
1083,4.110772456488425
2913,3.018186717948205
1370,2.281904959164137
1379,2.440817713749201
2896,2.199677459884951
2406,2.3392711543615463
3060,1.8620288964780187
2470,1.8495819302380339
1678,3.1777865264237977
877,2.722816769643417
1972,1.8534598724951499
1812,1.6028014391874672
2796,1.5371675014391375
3051,2.270207754038283
983,2.236205642277277
1275,2.697501310745339
1998,2.5320032174896343
2210,2.0271752788319612
2786,1.46401216117593
951,2.689146215804927
2465,1.7391909819910238
1228,1.2273182459560312
2524,1.9267922037925316
2093,1.7213679605212275
1921,3.914822069330391
3034,1.7235192963749595
1676,2.723055953611174
1214,2.646644256677188
2275,2.3565695344653683
2789,2.3233953468717248
756,2.5038128568795748
1130,2.9254175556310726
1555,1.8287308242109912
1487,2.331945909790213
2041,2.5264172693045155
1931,2.3921676054391345
1349,2.5169136489033663
725,2.6276628703833853
1006,3.3667958262336053
989,3.7915262708686934
2265,2.225184043207519
1969,1.5077311654588292
2562,2.3686116275901496
2959,2.6374022825072223
2102,1.8260122767163087
933,2.669231495450151
1648,3.506679138161947
1132,2.165513176674677
2912,2.1605541025193986
1602,1.0406338449173889
1627,3.5230658718119052
1302,3.59791684283833
1910,2.3189441684760954
1208,1.8406051697256525
1109,2.6276641494065553
908,3.0804217672762637
2819,1.728151166816089
2106,1.7326007465549478
899,3.3560992817881536
2262,2.2034030998079754
1429,2.069281336998409
828,1.9391396326592973
1900,2.125370318270764
1368,1.964013787091994
767,3.5500482851991233
849,2.3428121291589514
1442,2.1442541325841087
2693,2.196688484776702
2947,1.8003195192524675
1925,2.5922881140139165
2062,2.3172004289779036
987,2.38633367184941
2354,2.105946230133615
3018,1.9975802418469883
2577,2.611068912776014
1082,3.063920314684534
2144,1.7889962571810336
2880,2.4641924201515373
1626,3.741491115883707
1400,2.5040680944008495
1051,2.112122372607218
2603,1.7332516016644168
1135,1.898723460548916
2452,1.9582735837201846
1482,2.543561954094437
2206,3.3479219101653843
1282,2.9192062655855198
1500,2.1966594747432615
1992,2.024129943273175
1114,2.495617007011159
769,2.347587736740038
2828,1.9083232872065152
2988,1.552248114839028
2259,2.4176038534864155
2237,2.2463905955503414
2121,2.0942453646619485
2597,2.235217611137257
2767,1.787640839638794
2593,3.1972484894429285
2878,1.63227295175823
1427,2.6022412057589515
2061,2.5392213634242284
1211,2.65980314311549
1467,2.920427051034679
929,2.564692322941909
1244,2.737340584231246
1419,3.927261906775074
1321,2.8757671368176516
1747,3.934715860140935
1569,2.5672917569328217
1908,2.102114957726814
1074,3.698173682969491
1814,2.5797820931667452
723,2.8870620320649367
2500,1.6505350383601836
1710,3.6651701413085176
931,2.216482906758732
1768,2.504381068245848
718,2.709141697029094
1978,2.2512077926749883
1232,3.255609121951406
996,2.2899048990116664
2791,1.581066972206182
1773,1.9565587219927594
1011,2.7796780671867447
2419,1.7680458803318322
884,2.081036742783102
