seed,fold,valid_rows,valid_score_mean,valid_score_std
252,1,499,2.451791423572715,0.597633958234427
252,2,499,2.428884040574381,0.5882237182485166
252,3,499,2.4216136551228784,0.5752530727635302
252,4,499,2.457314784638174,0.6003773291640533
252,5,498,2.4753705256512526,0.6019973343811359
253,1,499,2.4605891354739757,0.5711990338470454
253,2,499,2.4800068000275486,0.6200281939839745
253,3,499,2.4322824469905484,0.587567996814582
253,4,499,2.426539034642869,0.5918238511702527
253,5,498,2.422319119528553,0.5877419106341637
254,1,499,2.4262570789736024,0.5811691531324757
254,2,499,2.431957604820052,0.591740830367453
254,3,499,2.45646554875869,0.6284097641148938
254,4,499,2.4284433467417585,0.5964602775659504
254,5,498,2.479419818493403,0.5677596264115865
255,1,499,2.42854346552187,0.5683555558553975
255,2,499,2.4975126615604606,0.6306825469706782
255,3,499,2.4354562940199935,0.6039311953807314
255,4,499,2.461755852318568,0.5896478926672312
255,5,498,2.4253160442308124,0.5738631975869247
256,1,499,2.4862071646472925,0.6201239027559626
256,2,499,2.4298384094094705,0.5747958706293737
256,3,499,2.4425434795898773,0.5803209382107894
256,4,499,2.4558005373081695,0.6021565593977097
256,5,498,2.4166604323166716,0.5909094699841994
