candidate,oof_qwk,oof_mae,oof_macro_f1,thresholds,oof_l1_dist,test_combined_l1_dist,label_dist_combined,label_dist_public,label_dist_private,weights
huber_meta,0.6533975611540109,0.7758620689655172,0.4148142118388913,"[1.8324933509373413, 2.419691411813223, 3.073794895654222, 3.8800740420945528]",0.006415396952686461,0.17910905636615126,"{1: 256, 2: 136, 3: 97, 4: 56, 5: 51}","{1: 120, 2: 67, 3: 55, 4: 28, 5: 28}","{1: 136, 2: 69, 3: 42, 4: 28, 5: 23}","[0.398044395695085, -0.2508377897703895, 0.5326152997709049, 0.4228229788102916]"
constrained_blend,0.6518794017540988,0.7770649558941459,0.41601536822510327,"[1.9583831645165855, 2.4962779342949357, 3.0927259298100784, 3.815247118231727]",0.010425020048115477,0.17575335166816464,"{1: 252, 2: 139, 3: 98, 4: 55, 5: 52}","{1: 118, 2: 68, 3: 56, 4: 28, 5: 28}","{1: 134, 2: 71, 3: 42, 4: 27, 5: 24}","[0.3598375339420455, 9.324138683375338e-18, 0.306118592355272, 0.3340438737026824]"
ridge_meta_a1,0.6513774621769302,0.7818765036086608,0.41001182678563863,"[1.8977762392902429, 2.4411402196179384, 3.0390106269624035, 3.7800360654886322]",0.0072173215717722256,0.17910905636615126,"{1: 258, 2: 134, 3: 98, 4: 54, 5: 52}","{1: 121, 2: 66, 3: 56, 4: 27, 5: 28}","{1: 137, 2: 68, 3: 42, 4: 27, 5: 24}","[0.4084691210074847, -0.1323492423828271, 0.3592873331558971, 0.4062350530656021]"
simple_avg,0.6507696459577675,0.7782678428227746,0.41621832493702743,"[1.9224406712314241, 2.496495414187994, 3.134798834073748, 3.923366651093641]",0.012830793905372881,0.1623305328762184,"{1: 257, 2: 130, 3: 97, 4: 59, 5: 53}","{1: 120, 2: 65, 3: 55, 4: 30, 5: 28}","{1: 137, 2: 65, 3: 42, 4: 29, 5: 25}","[0.25, 0.25, 0.25, 0.25]"
weighted_qwk,0.6507643562904094,0.7774659182036888,0.41674797030729166,"[1.9173982206982372, 2.4922470612301617, 3.1542651854111075, 3.958886192200275]",0.014434643143544507,0.16233053287621835,"{1: 255, 2: 132, 3: 98, 4: 62, 5: 49}","{1: 119, 2: 66, 3: 55, 4: 32, 5: 26}","{1: 136, 2: 66, 3: 43, 4: 30, 5: 23}","[0.2354828273284182, 0.2534841371403195, 0.25467726259211587, 0.25635577293914646]"
biased_specter3s_50_avg_other,0.6486030088397158,0.7826784282277466,0.41156195708109566,"[1.8953847556703525, 2.499450702312454, 3.2161984088884803, 4.003257402019706]",0.011226944667201269,0.17239764697017806,"{1: 260, 2: 130, 3: 95, 4: 60, 5: 51}","{1: 121, 2: 65, 3: 55, 4: 31, 5: 26}","{1: 139, 2: 65, 3: 40, 4: 29, 5: 25}","[0.5, 0.5]"
blend_2anchor_60_specter,0.6477395491221651,0.7798716920609463,0.41382194500542957,"[1.95938090775264, 2.4788473681300585, 3.069708908884845, 3.800701242362355]",0.013632718524458687,0.1757533516681647,"{1: 255, 2: 136, 3: 99, 4: 57, 5: 49}","{1: 122, 2: 65, 3: 54, 4: 30, 5: 27}","{1: 133, 2: 71, 3: 45, 4: 27, 5: 22}","[0.4, 0.6]"
blend_2anchor_70_specter,0.6464167906628514,0.7842822774659182,0.41524993569235835,"[1.9160707513543012, 2.457048127236664, 3.105063855199593, 3.8634695404488046]",0.016038492381716146,0.15226341878225863,"{1: 252, 2: 132, 3: 103, 4: 59, 5: 50}","{1: 118, 2: 66, 3: 57, 4: 30, 5: 27}","{1: 134, 2: 66, 3: 46, 4: 29, 5: 23}","[0.30000000000000004, 0.7]"
blend_2anchor_50_50,0.644547281174491,0.7842822774659182,0.41738523076445755,"[1.9933009152980905, 2.4686807285237284, 3.009674378783781, 3.6779346836923503]",0.010425020048115491,0.1858204657621244,"{1: 254, 2: 140, 3: 98, 4: 52, 5: 52}","{1: 120, 2: 69, 3: 55, 4: 27, 5: 27}","{1: 134, 2: 71, 3: 43, 4: 25, 5: 25}","[0.5, 0.5]"
blend_2anchor_80_specter,0.644255266504742,0.7878909382518043,0.4089720230526234,"[1.8944983574912482, 2.496390463188761, 3.183857512390818, 3.9809583894570553]",0.004811547714514822,0.16568623757420492,"{1: 258, 2: 130, 3: 99, 4: 60, 5: 49}","{1: 121, 2: 64, 3: 57, 4: 32, 5: 24}","{1: 137, 2: 66, 3: 42, 4: 28, 5: 25}","[0.19999999999999996, 0.8]"
biased_specter3s_70_avg_other,0.6436755148100114,0.7931034482758621,0.40584127931751296,"[1.8671487621723357, 2.4997444535414424, 3.2269157431252506, 4.0493691533653635]",0.012830793905372909,0.17239764697017806,"{1: 260, 2: 130, 3: 94, 4: 61, 5: 51}","{1: 122, 2: 65, 3: 53, 4: 32, 5: 26}","{1: 138, 2: 65, 3: 41, 4: 29, 5: 25}","[0.7, 0.30000000000000004]"
anchor_specter_3s_only,0.6373314201207952,0.7963111467522053,0.40759591515035715,"[1.8320314775466306, 2.528292181582156, 3.289658081408472, 4.171401461253652]",0.00641539695268642,0.17239764697017812,"{1: 261, 2: 129, 3: 97, 4: 61, 5: 48}","{1: 123, 2: 64, 3: 54, 4: 31, 5: 26}","{1: 138, 2: 65, 3: 43, 4: 30, 5: 22}",[1.0]
