name,w_qwen14b,w_e5,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,test_l1,thresholds,pub_dist,pri_dist
q0p00_e50p50_sc0p30_sp0p20_r0p00,0.0,0.5,0.3,0.2,0.0,0.6592849557593436,0.647483270016774,0.1421963046882989,"1.876577,2.491860,3.263623,4.140085","{1: 123, 2: 59, 3: 59, 4: 36, 5: 21}","{1: 132, 2: 67, 3: 45, 4: 32, 5: 22}"
q0p05_e50p47_sc0p28_sp0p19_r0p00,0.05,0.475,0.285,0.19,0.0,0.6635535012190028,0.6519684385843245,0.1517009951400139,"1.893805,2.497131,3.223714,4.080838","{1: 124, 2: 59, 3: 57, 4: 35, 5: 23}","{1: 137, 2: 62, 3: 43, 4: 34, 5: 22}"
q0p05_e50p52_sc0p24_sp0p19_r0p00,0.05,0.5225,0.2375,0.19,0.0,0.6626614269032787,0.6507094579494418,0.1723976469701781,"1.892863,2.538907,3.265891,4.118478","{1: 125, 2: 63, 3: 52, 4: 36, 5: 22}","{1: 136, 2: 66, 3: 42, 4: 32, 5: 22}"
q0p05_e50p43_sc0p33_sp0p19_r0p00,0.05,0.4275,0.3325,0.19,0.0,0.6608856469860204,0.648917361115258,0.15505669983800047,"1.897897,2.498078,3.228522,4.108409","{1: 125, 2: 58, 3: 57, 4: 38, 5: 20}","{1: 137, 2: 63, 3: 44, 4: 32, 5: 22}"
q0p05_e50p47_sc0p24_sp0p19_r0p05,0.05,0.475,0.2375,0.19,0.0475,0.6642526131138033,0.6521256851797954,0.15505669983800047,"1.909863,2.498852,3.215825,4.056960","{1: 124, 2: 59, 3: 56, 4: 36, 5: 23}","{1: 138, 2: 60, 3: 44, 4: 33, 5: 23}"
q0p05_e50p43_sc0p28_sp0p19_r0p05,0.05,0.4275,0.285,0.19,0.0475,0.664135743585051,0.6505202656441675,0.15170099514001392,"1.896654,2.495326,3.206263,4.066583","{1: 124, 2: 59, 3: 57, 4: 36, 5: 22}","{1: 137, 2: 61, 3: 46, 4: 32, 5: 22}"
q0p05_e50p38_sc0p33_sp0p19_r0p05,0.05,0.38,0.3325,0.19,0.0475,0.6640881661174176,0.6493582206198827,0.16176810923397367,"1.909803,2.523994,3.232766,4.078337","{1: 126, 2: 57, 3: 60, 4: 34, 5: 21}","{1: 138, 2: 65, 3: 42, 4: 32, 5: 21}"
q0p05_e50p43_sc0p24_sp0p24_r0p05,0.05,0.4275,0.2375,0.2375,0.0475,0.6647547949816608,0.6499071268633054,0.15841240453598707,"1.902257,2.498981,3.235585,4.044091","{1: 125, 2: 59, 3: 57, 4: 34, 5: 23}","{1: 138, 2: 61, 3: 46, 4: 29, 5: 24}"
q0p05_e50p38_sc0p28_sp0p24_r0p05,0.05,0.38,0.285,0.2375,0.0475,0.6641895907800072,0.6505166801991102,0.16287411936298127,"1.911641,2.495072,3.235103,4.066197","{1: 126, 2: 57, 3: 59, 4: 33, 5: 23}","{1: 138, 2: 62, 3: 46, 4: 30, 5: 22}"
q0p05_e50p47_sc0p19_sp0p19_r0p10,0.05,0.475,0.19,0.19,0.095,0.6658938973713221,0.6473047801328327,0.15226341878225863,"1.913397,2.499626,3.225081,4.047247","{1: 124, 2: 60, 3: 55, 4: 37, 5: 22}","{1: 137, 2: 63, 3: 49, 4: 25, 5: 24}"
q0p05_e50p38_sc0p28_sp0p19_r0p10,0.05,0.38,0.285,0.19,0.095,0.6639420249152946,0.6460248212144022,0.1723976469701781,"1.918026,2.532924,3.224043,4.044847","{1: 124, 2: 63, 3: 57, 4: 33, 5: 21}","{1: 139, 2: 64, 3: 45, 4: 28, 5: 22}"
q0p08_e50p46_sc0p28_sp0p18_r0p00,0.08,0.46,0.276,0.184,0.0,0.6639818647266349,0.6521782611901561,0.1483452904420273,"1.880986,2.499575,3.241842,4.103836","{1: 124, 2: 59, 3: 58, 4: 34, 5: 23}","{1: 136, 2: 63, 3: 45, 4: 32, 5: 22}"
