variant,vectorizer,cv_accuracy,cv_qwk
title_first_author,word_char,0.41339214113873296,0.5260644388463682
title_venue_year,word_char,0.41098636728147553,0.5249412321324047
title_x2,word_char,0.40938251804330394,0.5223453661936339
title_only,word_char,0.41058540497193263,0.5206874326061998
title_venue_year_authors,word_char,0.4073777064955894,0.517584528485975
title_venue_year_authors_doi_kind,word_char,0.4029671210906175,0.5129024973074334
title_venue_year_authors,word,0.392542101042502,0.5015848850107344
title_x2,word,0.3953488372093023,0.5015384440678061
title_only,word,0.3937449879711307,0.5003060896398079
title_venue_year,word,0.392542101042502,0.4998751763020116
title_first_author,word,0.39294306335204493,0.4988363686916709
title_venue_year_authors_doi_kind,word,0.38933440256615875,0.4966802927236855
metadata_only,word,0.32076984763432237,0.25979946082202865
