name,model,external_weight,ridge_weight,oof_qwk,mae,feature_count,numeric_features,categorical_features,thresholds,test_distribution,submission
opencitations_core,huber,0.65,0.35,0.6081467938677481,0.8327987169206095,11,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,coci_found,log_coci_citation_count",venue,"1.981321913998,2.438020880561,2.986678537418,3.440556230313","{1: 216, 2: 176, 3: 118, 4: 35, 5: 51}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\opencitations_core_huber_w0.65_submission.csv
source_agreement,huber,0.5,0.5,0.6070764662262305,0.8327987169206095,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,log_best_citation_count,log_citation_velocity,citation_count_mean,citation_source_count,citation_disagreement,external_found_count,best_citation_count_venue_year_pct,citation_velocity_venue_year_pct,best_reference_count_venue_year_pct",venue,"1.977948017802,2.493628182925,2.978386474853,3.420448852558","{1: 205, 2: 209, 3: 98, 4: 35, 5: 49}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\source_agreement_huber_w0.50_submission.csv
opencitations_core,huber,1.0,0.0,0.6064889325115616,0.8476343223736968,11,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,coci_found,log_coci_citation_count",venue,"1.807511753168,2.452445187682,2.946376974559,3.451959059295","{1: 184, 2: 216, 3: 93, 4: 48, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\opencitations_core_huber_w1.00_submission.csv
source_agreement,huber,1.0,0.0,0.6064865608183387,0.843223736968725,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,log_best_citation_count,log_citation_velocity,citation_count_mean,citation_source_count,citation_disagreement,external_found_count,best_citation_count_venue_year_pct,citation_velocity_venue_year_pct,best_reference_count_venue_year_pct",venue,"1.944586236193,2.439363810356,3.014704827927,3.480555090507","{1: 231, 2: 168, 3: 106, 4: 36, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\source_agreement_huber_w1.00_submission.csv
base_no_external,huber,0.65,0.35,0.605850083822371,0.8452285485164395,9,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te",venue,"1.949813272869,2.478678625595,2.985223265749,3.250569854752","{1: 202, 2: 203, 3: 101, 4: 26, 5: 64}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\base_no_external_huber_w0.65_submission.csv
base_no_external,huber,1.0,0.0,0.6057991116352706,0.8448275862068966,9,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te",venue,"1.918002411359,2.368236845961,2.979919768710,3.504699155124","{1: 210, 2: 168, 3: 120, 4: 45, 5: 53}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\base_no_external_huber_w1.00_submission.csv
source_agreement,huber,0.35,0.65,0.6057272152482172,0.8452285485164395,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,log_best_citation_count,log_citation_velocity,citation_count_mean,citation_source_count,citation_disagreement,external_found_count,best_citation_count_venue_year_pct,citation_velocity_venue_year_pct,best_reference_count_venue_year_pct",venue,"2.020830967532,2.497879836595,2.806603582051,3.283325296273","{1: 212, 2: 203, 3: 73, 4: 54, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\source_agreement_huber_w0.35_submission.csv
openalex_core,huber,0.65,0.35,0.6057197222591408,0.842822774659182,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,oa_fwci_venue_year_pct","venue,oa_source","1.937754712922,2.504512150896,2.932992179828,3.376198048207","{1: 203, 2: 208, 3: 88, 4: 41, 5: 56}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\openalex_core_huber_w0.65_submission.csv
source_agreement,huber,0.65,0.35,0.6047427714003127,0.8275862068965517,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,log_best_citation_count,log_citation_velocity,citation_count_mean,citation_source_count,citation_disagreement,external_found_count,best_citation_count_venue_year_pct,citation_velocity_venue_year_pct,best_reference_count_venue_year_pct",venue,"1.981410548437,2.509518970716,2.954507574227,3.708160476621","{1: 220, 2: 194, 3: 90, 4: 56, 5: 36}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\source_agreement_huber_w0.65_submission.csv
openalex_core,huber,0.5,0.5,0.6045269308848144,0.8560545308740979,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,oa_fwci_venue_year_pct","venue,oa_source","2.007100339186,2.312896043712,2.965162759823,3.327777421064","{1: 218, 2: 128, 3: 167, 4: 28, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\openalex_core_huber_w0.50_submission.csv
