feature,coverage,unique_values,spearman,abs_spearman,p_value
crossref_license_count,0.5846030473135525,5,-0.2036098295687798,0.2036098295687798,4.150586132180827e-15
log_crossref_reference_count,0.5846030473135525,86,-0.1917347295514089,0.1917347295514089,1.5420559708827158e-13
crossref_has_abstract,0.5846030473135525,2,0.14437583830738726,0.14437583830738726,3.074884050415505e-08
citation_disagreement,0.5846030473135525,327,-0.10005228364794673,0.10005228364794673,0.000129871695819373
log_coci_citation_count,0.5846030473135525,62,-0.08874606538409394,0.08874606538409394,0.0006927106823799928
log_crossref_is_referenced_by_count,0.5846030473135525,68,-0.08340902965648589,0.08340902965648589,0.0014341164385353593
log_best_citation_count,0.8821170809943866,104,-0.08031058016561372,0.08031058016561372,0.00016269161739737096
log_s2_citation_count,0.5280673616680032,96,-0.07990714657214776,0.07990714657214776,0.0037107588594550295
log_citation_velocity,0.8821170809943866,290,-0.07867457587378454,0.07867457587378454,0.00022093288887255205
s2_influential_citation_count_venue_year_pct,0.5280673616680032,158,0.07477443492216142,0.07477443492216142,0.006631064151112871
best_citation_count_year_pct,0.8821170809943866,394,-0.07406948573761502,0.07406948573761502,0.0005071162460129797
citation_velocity_year_pct,0.8821170809943866,394,-0.07406948573761502,0.07406948573761502,0.0005071162460129797
oa_title_match_score,1.0,246,0.07212694051499627,0.07212694051499627,0.0003122649810652198
s2_found,1.0,2,-0.07124676043083486,0.07124676043083486,0.0003697230553461285
log_oa_referenced_works_count,0.8809141940657578,99,-0.06624382145387532,0.06624382145387532,0.0018922858134521562
citation_count_mean,0.8821170809943866,219,-0.06022125658283382,0.06022125658283382,0.004719412619856489
log_s2_influential_citation_count,0.5280673616680032,24,-0.05616625105255205,0.05616625105255205,0.041552489462777446
influential_ratio,0.4538893344025662,147,-0.049753264078751615,0.049753264078751615,0.09429860579953235
log_oa_fwci,0.8572574178027266,1184,-0.04929439110978769,0.04929439110978769,0.02264614708926776
citation_source_count,1.0,5,-0.04616958730665525,0.04616958730665525,0.02112286084959502
external_found_count,1.0,5,-0.04616958730665525,0.04616958730665525,0.02112286084959502
best_reference_count_venue_year_pct,0.8821170809943866,995,0.04168929694991229,0.04168929694991229,0.05056654686730115
oa_fwci_venue_year_pct,0.8572574178027266,928,0.0412736302854594,0.0412736302854594,0.05637464383280168
citation_velocity_venue_pct,0.8821170809943866,589,0.040192190182630545,0.040192190182630545,0.05944725414619528
oa_fwci_venue_pct,0.8572574178027266,1275,0.038465478514028956,0.038465478514028956,0.0753702885830609
log_oa_cited_by_count,0.8809141940657578,89,-0.03783999362250363,0.03783999362250363,0.07618428367096848
oa_found,1.0,2,0.03625907955268523,0.03625907955268523,0.07022375962801451
best_citation_count_venue_pct,0.8821170809943866,252,0.03426863210664422,0.03426863210664422,0.10807635886193985
best_citation_count_venue_year_pct,0.8821170809943866,692,0.033172264132956965,0.033172264132956965,0.11983634204181756
citation_velocity_venue_year_pct,0.8821170809943866,692,0.033172264132956965,0.033172264132956965,0.11983634204181756
oa_fwci_year_pct,0.8572574178027266,1212,-0.02942391087958375,0.02942391087958375,0.17382465301614414
log_s2_reference_count,0.5280673616680032,95,-0.02930784010761064,0.02930784010761064,0.28786613565556596
