id,bge_m3_dense_class1_irrelevant,bge_m3_dense_class2_adjacent,bge_m3_dense_class3_related,bge_m3_dense_class4_relevant,bge_m3_dense_class5_core,bge_m3_sparse_class1_irrelevant,bge_m3_sparse_class2_adjacent,bge_m3_sparse_class3_related,bge_m3_sparse_class4_relevant,bge_m3_sparse_class5_core
0,0.5898768,0.6131333,0.5925069,0.62167543,0.59977514,0.15771484375,0.134521484375,0.12548828125,0.1397705078125,0.1527099609375
1,0.52398527,0.610861,0.5910776,0.56974715,0.53513527,0.0675048828125,0.134033203125,0.13916015625,0.055572509765625,0.049652099609375
2,0.5784119,0.5984324,0.6329738,0.603215,0.59229827,0.0272216796875,0.033905029296875,0.08233642578125,0.013336181640625,0.0243377685546875
3,0.5898715,0.61948365,0.64588505,0.6057198,0.5691402,0.0207061767578125,0.0289459228515625,0.032928466796875,0.0186614990234375,0.06768798828125
4,0.5175805,0.5394001,0.5570291,0.53784955,0.5149398,0.0276641845703125,0.03753662109375,0.046356201171875,0.0209503173828125,0.0673828125
5,0.5386828,0.57334554,0.600428,0.5550009,0.5728931,0.012725830078125,0.061981201171875,0.08203125,0.029449462890625,0.01543426513671875
6,0.5523918,0.5438584,0.5755467,0.5777106,0.59427994,0.0771484375,0.01157379150390625,0.06658935546875,0.0215301513671875,0.049652099609375
7,0.5374217,0.61256707,0.5844768,0.5445275,0.5350518,0.091552734375,0.10760498046875,0.10516357421875,0.062469482421875,0.06005859375
8,0.5354256,0.53520876,0.5809634,0.5560584,0.54875517,0.06298828125,0.11309814453125,0.080810546875,0.0755615234375,0.1405029296875
9,0.59249294,0.57201695,0.58472055,0.59747773,0.6040482,0.1187744140625,0.1077880859375,0.1099853515625,0.06964111328125,0.059722900390625
10,0.48905328,0.50343364,0.5265149,0.5648901,0.54971504,0.1455078125,0.06390380859375,0.09747314453125,0.148193359375,0.1695556640625
11,0.5427674,0.5469829,0.5603094,0.5764077,0.5643257,0.01849365234375,0.002307891845703125,0.00276947021484375,0.0174713134765625,0.0220489501953125
12,0.5354694,0.5574303,0.57118815,0.5904209,0.5471415,0.12249755859375,0.1236572265625,0.099609375,0.118896484375,0.07098388671875
13,0.5398731,0.56035566,0.54476357,0.54822594,0.5598573,0.045257568359375,0.00913238525390625,0.03582763671875,0.042449951171875,0.0257568359375
14,0.5803929,0.5566666,0.5998187,0.60927796,0.6021202,0.141845703125,0.10498046875,0.10321044921875,0.1290283203125,0.23876953125
15,0.5183479,0.5252038,0.5249744,0.5181474,0.51174486,0.06396484375,0.03271484375,0.07928466796875,0.0202789306640625,0.03179931640625
16,0.50319237,0.5003104,0.52433753,0.53724885,0.51392925,0.02044677734375,0.0120086669921875,0.00894927978515625,0.0343017578125,0.0269927978515625
17,0.52256465,0.56578296,0.5955317,0.55351794,0.55328655,0.1134033203125,0.10101318359375,0.1153564453125,0.099609375,0.100341796875
