id,bge_m3_dense_class1_irrelevant,bge_m3_dense_class2_adjacent,bge_m3_dense_class3_related,bge_m3_dense_class4_relevant,bge_m3_dense_class5_core,bge_m3_sparse_class1_irrelevant,bge_m3_sparse_class2_adjacent,bge_m3_sparse_class3_related,bge_m3_sparse_class4_relevant,bge_m3_sparse_class5_core
2491,0.4845996,0.48528236,0.46174818,0.48717654,0.5042002,0.04462,0.0102691650390625,0.0360107421875,0.04446,0.0666
2707,0.46375406,0.44246024,0.42399597,0.5094699,0.5035733,0.00883,0.0,0.0102081298828125,0.00923,0.006134
1248,0.536819,0.56473345,0.50244755,0.5856325,0.5798458,0.06885,0.0,0.032958984375,0.06555,0.0829
1433,0.4472616,0.482365,0.48006758,0.4929775,0.5010329,0.0433,0.050628662109375,0.024383544921875,0.0278,0.08276
2339,0.44375956,0.474319,0.45959228,0.49340826,0.47185177,0.0747,0.0017175674438476562,0.046417236328125,0.062,0.0537
773,0.43102747,0.49549973,0.48521918,0.45378113,0.45686004,0.09424,0.09735107421875,0.093505859375,0.0637,0.0594
1330,0.57473767,0.52564013,0.6060824,0.59544206,0.5944875,0.1538,0.012359619140625,0.06329345703125,0.1453,0.1603
1561,0.5020738,0.5108519,0.5015389,0.5268595,0.5592832,0.04523,0.039947509765625,0.035888671875,0.03897,0.0801
1904,0.49668065,0.52025014,0.5219186,0.5370643,0.5089835,0.03061,0.063720703125,0.039459228515625,0.03055,0.05603
912,0.4892463,0.46559525,0.50337684,0.489451,0.44836125,0.05878,0.002826690673828125,0.07012939453125,0.0077,0.01878
2420,0.4942155,0.5116874,0.46835756,0.5133228,0.51259017,0.04404,0.066162109375,0.040191650390625,0.10004,0.0652
888,0.5214149,0.50189066,0.49931964,0.5176127,0.46138656,0.010635,0.0,0.002201080322265625,0.003223,0.004333
1780,0.49250826,0.5110167,0.53171766,0.52244055,0.5317279,0.02933,0.012237548828125,0.01885986328125,0.03723,0.02318
1395,0.58333206,0.5318409,0.54247975,0.6089688,0.6132459,0.1236,0.002643585205078125,0.03924560546875,0.11633,0.1309
2551,0.4689041,0.51872456,0.4915915,0.4642943,0.47043383,0.07495,0.0816650390625,0.019195556640625,0.05975,0.112
1778,0.5214669,0.55495805,0.5489981,0.54771686,0.5553745,0.1348,0.1595458984375,0.08563232421875,0.14,0.1182
2060,0.4175174,0.46011204,0.4493027,0.47648373,0.48189932,0.03247,0.035888671875,0.023651123046875,0.011475,0.03516
2834,0.45751044,0.45538667,0.48248887,0.4922192,0.47500384,0.07007,0.05401611328125,0.040069580078125,0.06073,0.0817
2089,0.46336973,0.5560707,0.5014771,0.5192616,0.50098366,0.02205,0.10321044921875,0.01168060302734375,0.05295,0.02777
744,0.5694195,0.532346,0.55314744,0.536933,0.560394,0.1311,0.05975341796875,0.09344482421875,0.0695,0.05505
2205,0.52169997,0.54142857,0.5374801,0.5499682,0.5459598,0.1283,0.10748291015625,0.0712890625,0.1393,0.1653
2156,0.53562295,0.5521372,0.515575,0.6058506,0.597749,0.05365,0.007656097412109375,0.0182037353515625,0.04514,0.08405
1229,0.58114964,0.58966035,0.5983167,0.5794137,0.5437103,0.0981,0.052032470703125,0.103515625,0.0426,0.02364
963,0.49900633,0.49213374,0.50678176,0.5291278,0.5208101,0.11194,0.0645751953125,0.090576171875,0.0656,0.08344
2769,0.4868019,0.4873067,0.4903916,0.5063355,0.50017595,0.08154,0.130615234375,0.06732177734375,0.0758,0.11237
885,0.60036397,0.56233567,0.56160975,0.5738529,0.5745729,0.1925,0.1263427734375,0.144287109375,0.0952,0.2007
2712,0.502938,0.56730175,0.55248535,0.51202095,0.50717795,0.05118,0.0877685546875,0.03997802734375,0.038,0.05414
