id,bge_m3_dense_class1_irrelevant,bge_m3_dense_class2_adjacent,bge_m3_dense_class3_related,bge_m3_dense_class4_relevant,bge_m3_dense_class5_core,bge_m3_sparse_class1_irrelevant,bge_m3_sparse_class2_adjacent,bge_m3_sparse_class3_related,bge_m3_sparse_class4_relevant,bge_m3_sparse_class5_core
979,0.57679015,0.5396892,0.58642995,0.61464936,0.60154366,0.2408,0.06402587890625,0.150390625,0.18994140625,0.381591796875
1106,0.5265586,0.54155344,0.5247416,0.5745827,0.54960835,0.04306,0.009857177734375,0.045166015625,0.07037353515625,0.04949951171875
1894,0.499484,0.56568193,0.5154333,0.58939534,0.5918435,0.0132,0.065673828125,0.004180908203125,0.033416748046875,0.082763671875
1718,0.45860696,0.4740401,0.47121543,0.4658677,0.46454343,0.0428,0.06024169921875,0.044708251953125,0.02618408203125,0.0556640625
1989,0.44898257,0.5009356,0.5086473,0.49834946,0.46908292,0.03494,0.1036376953125,0.0198822021484375,0.018218994140625,0.06707763671875
2010,0.42834467,0.44967178,0.46112826,0.46881342,0.47057396,0.05814,0.054473876953125,0.00829315185546875,0.0540771484375,0.08685302734375
2356,0.50300384,0.5186526,0.52034336,0.5179028,0.5139759,0.11,0.1280517578125,0.0819091796875,0.10986328125,0.162353515625
1179,0.46469057,0.49925363,0.47267303,0.4970361,0.48293087,0.01895,0.05792236328125,0.011016845703125,0.013671875,0.054840087890625
3001,0.49181682,0.518448,0.5206017,0.52190214,0.5145211,0.04147,0.05126953125,0.04449462890625,0.034271240234375,0.0872802734375
796,0.4631081,0.4979648,0.49619406,0.4589312,0.4676854,0.03766,0.05999755859375,0.04522705078125,0.0219268798828125,0.07904052734375
1771,0.44169712,0.41526076,0.4814254,0.43795776,0.46515965,0.063,0.08062744140625,0.1341552734375,0.04193115234375,0.05145263671875
986,0.4692002,0.5074804,0.49229497,0.53376114,0.49232936,0.10004,0.039642333984375,0.07025146484375,0.07177734375,0.0908203125
