name,kind,weight,oof_qwk,oof_lift,oof_round_qwk,test_l1,public_changed,private_changed,thresholds,pub_dist,pri_dist,changed,improved,worsened,same,mean_delta_abs_error,risky_promotions,coreish_demotions_5_to_4
step18b_bge_m3_ridge_a10p0_w0p05,step18b_blend,0.05,0.6645379466411456,0.004361610895830648,0.644847521152826,0.15505669983800047,13,12,"1.915292,2.497813,3.203579,4.035150","{1: 123, 2: 61, 3: 52, 4: 36, 5: 26}","{1: 139, 2: 59, 3: 45, 4: 30, 5: 25}",101,54,47,0,0.06930693069306931,26,0
step18b_bge_m3_ridge_a3p0_w0p05,step18b_blend,0.05,0.6634274928020281,0.003251157056713083,0.645033088977274,0.14555200938628549,15,15,"1.894726,2.497323,3.201687,4.050602","{1: 119, 2: 65, 3: 52, 4: 36, 5: 26}","{1: 133, 2: 65, 3: 45, 4: 31, 5: 24}",106,56,50,0,0.05660377358490566,34,2
step18b_bge_m3_ridge_a10p0_w0p08,step18b_blend,0.08,0.662992639918448,0.002816304173133055,0.6412360506125936,0.1421963046882989,23,23,"1.881170,2.499499,3.216786,4.053448","{1: 116, 2: 66, 3: 56, 4: 35, 5: 25}","{1: 130, 2: 69, 3: 45, 4: 31, 5: 23}",140,79,61,0,0.12857142857142856,51,6
step18b_bge_m3_ridge_a3p0_w0p03,step18b_blend,0.03,0.6627432987326953,0.00256696298738035,0.648659146718336,0.14890771408427203,9,9,"1.886600,2.499623,3.232729,4.098885","{1: 120, 2: 64, 3: 55, 4: 37, 5: 22}","{1: 132, 2: 67, 3: 45, 4: 31, 5: 23}",65,39,26,0,0.2,19,3
step18b_bge_m3_ridge_a100p0_w0p08,step18b_blend,0.08,0.6624827030724072,0.002306367327092218,0.6412737375377958,0.16233053287621835,19,21,"1.922484,2.534904,3.231183,4.076541","{1: 121, 2: 66, 3: 53, 4: 37, 5: 21}","{1: 140, 2: 60, 3: 45, 4: 30, 5: 23}",136,80,56,0,0.17647058823529413,14,6
step18b_bge_m3_ridge_a3p0_w0p02,step18b_blend,0.02,0.6621865128732048,0.0020101771278898672,0.6485790106634902,0.14890771408427203,6,6,"1.891061,2.499949,3.239863,4.081361","{1: 122, 2: 61, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 66, 3: 44, 4: 31, 5: 23}",46,28,18,0,0.21739130434782608,8,0
step18b_bge_m3_ridge_a100p0_w0p05,step18b_blend,0.05,0.6620025888201826,0.001826253074867612,0.6471538464209585,0.17239764697017806,13,17,"1.911961,2.529502,3.248246,4.102072","{1: 121, 2: 66, 3: 55, 4: 35, 5: 21}","{1: 138, 2: 65, 3: 43, 4: 31, 5: 21}",95,56,39,0,0.17894736842105263,3,6
step18b_bge_m3_ridge_a100p0_w0p03,step18b_blend,0.03,0.6616977419727772,0.0015214062274622187,0.6473530118102251,0.14834529044202732,5,6,"1.908989,2.494293,3.238479,4.090648","{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 137, 2: 60, 3: 46, 4: 33, 5: 22}",50,31,19,0,0.24,2,1
step18b_bge_m3_ridge_a30p0_w0p03,step18b_blend,0.03,0.6616709594725079,0.0014946237271928897,0.6484439386441769,0.14890771408427206,9,10,"1.878056,2.498279,3.220433,4.087865","{1: 119, 2: 64, 3: 56, 4: 37, 5: 22}","{1: 131, 2: 69, 3: 43, 4: 32, 5: 23}",43,26,17,0,0.20930232558139536,13,1
step18b_bge_m3_ridge_a300p0_w0p05,step18b_blend,0.05,0.6616460843116355,0.001469748566320539,0.6466563767743625,0.17239764697017806,13,19,"1.920832,2.528908,3.255210,4.096389","{1: 124, 2: 63, 3: 56, 4: 34, 5: 21}","{1: 141, 2: 62, 3: 44, 4: 30, 5: 21}",104,58,46,0,0.11538461538461539,2,5
step18b_bge_m3_ridge_a100p0_w0p10,step18b_blend,0.1,0.6615793501695275,0.0014030144242125342,0.6372602697635089,0.14555200938628549,23,26,"1.902542,2.497465,3.209813,4.033823","{1: 118, 2: 66, 3: 53, 4: 37, 5: 24}","{1: 135, 2: 63, 3: 47, 4: 30, 5: 23}",139,78,61,0,0.1223021582733813,37,5
step18b_bge_m3_huber_w0p03,step18b_blend,0.03,0.6614246012743329,0.0012482655290179112,0.6477552420798005,0.15226341878225863,9,8,"1.895872,2.499096,3.233738,4.087410","{1: 123, 2: 61, 3: 54, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 43, 4: 32, 5: 23}",84,46,38,0,0.09523809523809523,20,3
step18b_bge_m3_ridge_a30p0_w0p02,step18b_blend,0.02,0.6612605583792329,0.0010842226339179417,0.6478199169309158,0.14555200938628549,5,4,"1.894341,2.494183,3.241801,4.089985","{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}",42,26,16,0,0.23809523809523808,5,1
step18b_bge_m3_ridge_a1000p0_w0p05,step18b_blend,0.05,0.6611914032266485,0.0010150674813335092,0.644938833793445,0.16512381393196024,9,14,"1.919546,2.494454,3.200260,4.041862","{1: 124, 2: 60, 3: 54, 4: 37, 5: 23}","{1: 141, 2: 59, 3: 42, 4: 32, 5: 24}",64,33,31,0,0.03125,7,0
