c,margin_cap,conf_gap,max_rows,allow_promote_risky,allow_demote_core,oof_qwk,oof_lift_vs_step25,test_l1,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,pub_dist,pri_dist
2.0,0.025,0.1,10,False,True,0.6612145155207299,-4.604285850307033e-05,0.14890771408427203,10,6,4,0.2,0,4,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 33, 5: 22}"
2.0,0.025,0.1,10,True,True,0.6612145155207299,-4.604285850307033e-05,0.14890771408427203,10,6,4,0.2,0,4,3,2,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 33, 5: 22}"
2.0,0.025,0.08,10,False,True,0.6612145155207299,-4.604285850307033e-05,0.1684795186299468,10,6,4,0.2,0,4,7,7,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 59, 3: 44, 4: 33, 5: 22}"
2.0,0.025,0.08,10,True,True,0.6612145155207299,-4.604285850307033e-05,0.1684795186299468,10,6,4,0.2,0,4,7,7,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 59, 3: 44, 4: 33, 5: 22}"
2.0,0.025,0.04,10,False,True,0.6612145155207299,-4.604285850307033e-05,0.17519092802591996,10,6,4,0.2,0,4,10,10,"{1: 127, 2: 62, 3: 52, 4: 35, 5: 22}","{1: 141, 2: 60, 3: 42, 4: 33, 5: 22}"
2.0,0.025,0.04,10,True,True,0.6612145155207299,-4.604285850307033e-05,0.17519092802591996,10,6,4,0.2,0,4,10,10,"{1: 127, 2: 62, 3: 52, 4: 35, 5: 22}","{1: 141, 2: 60, 3: 42, 4: 33, 5: 22}"
2.0,0.025,0.06,10,False,True,0.6612145155207299,-4.604285850307033e-05,0.17519092802591996,10,6,4,0.2,0,4,10,10,"{1: 127, 2: 62, 3: 52, 4: 35, 5: 22}","{1: 141, 2: 60, 3: 42, 4: 33, 5: 22}"
2.0,0.025,0.06,10,True,True,0.6612145155207299,-4.604285850307033e-05,0.17519092802591996,10,6,4,0.2,0,4,10,10,"{1: 127, 2: 62, 3: 52, 4: 35, 5: 22}","{1: 141, 2: 60, 3: 42, 4: 33, 5: 22}"
0.5,0.04,0.1,4,False,False,0.6611038140709506,-0.00015674430828227504,0.14890771408427203,4,2,2,0.0,0,0,0,4,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 137, 2: 63, 3: 43, 4: 32, 5: 23}"
0.5,0.04,0.1,4,True,False,0.6611038140709506,-0.00015674430828227504,0.14890771408427203,4,2,2,0.0,0,0,0,4,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 137, 2: 63, 3: 43, 4: 32, 5: 23}"
