id,title,venue,step36_pred,step41_pred
1106,SOGrounder: Modelling and Solving Second-Order Logic.,kr,3,2
2666,Zero-one laws for provability logic: Axiomatizing validity in almost all models and almost all frames.,lics,3,2
2573,Linear-Algebraic Models of Linear Logic as Categories of Modules over Σ-Semirings✱.,lics,3,2
952,On Finite Entailment of Non-Local Queries in Description Logics.,kr,4,3
2808,GF + MMT = GLF - From Language to Semantics through LF.,lics,2,1
1370,Degrees of Laziness in Grounding - Effects of Lazy-Grounding Strategies on ASP Solving.,lpnmr,4,3
877,Learning First-Order Representations for Planning from Black Box States: New Results.,kr,3,2
1400,NoHR: Integrating XSB Prolog with the OWL 2 Profiles and Beyond.,lpnmr,3,2
929,Rational Defeasible Belief Change.,kr,3,2
2987,An effectful way to eliminate addiction to dependence.,lics,2,1
1120,Abductive Diagnosis of Complex Active Systems with Compiled Knowledge.,kr,3,2
