name,weight,oof_qwk,mae,thresholds,train_dist,test_dist,submission
huber_meta,1.0,0.6066848893584885,0.8400160384923817,"1.971755905685,2.419144274612,2.991734788003,3.551522478590","{1: 902, 2: 551, 3: 471, 4: 291, 5: 279}","{1: 234, 2: 154, 3: 111, 4: 46, 5: 51}",outputs\openalex_meta\submissions\openalex_huber_meta_w1.00_submission.csv
huber_meta,0.5,0.6040258495880066,0.8408179631114675,"1.981379996067,2.461743514845,2.960602703883,3.338110186650","{1: 769, 2: 715, 3: 469, 4: 233, 5: 308}","{1: 204, 2: 195, 3: 107, 4: 36, 5: 54}",outputs\openalex_meta\submissions\openalex_huber_meta_w0.50_submission.csv
huber_meta,0.35,0.6035626522857149,0.8548516439454691,"2.016643890469,2.362152348952,2.944651834975,3.192529029106","{1: 776, 2: 588, 3: 595, 4: 173, 5: 362}","{1: 208, 2: 159, 3: 143, 4: 25, 5: 61}",outputs\openalex_meta\submissions\openalex_huber_meta_w0.35_submission.csv
huber_meta,0.25,0.6012493398167877,0.8504410585404972,"2.049292387330,2.530184980384,2.873796890982,3.217000744452","{1: 792, 2: 788, 3: 340, 4: 238, 5: 336}","{1: 216, 2: 209, 3: 78, 4: 37, 5: 56}",outputs\openalex_meta\submissions\openalex_huber_meta_w0.25_submission.csv
ridge_meta,0.25,0.6006859870980525,0.8548516439454691,"2.031880950613,2.547821643110,2.801834454616,3.210164314718","{1: 729, 2: 859, 3: 273, 4: 294, 5: 339}","{1: 203, 2: 226, 3: 59, 4: 52, 5: 56}",outputs\openalex_meta\submissions\openalex_ridge_meta_w0.25_submission.csv
huber_meta,0.08,0.6006059370571486,0.8508420208500401,"2.053526074889,2.471518709913,2.833817469735,3.153220556234","{1: 732, 2: 761, 3: 409, 4: 250, 5: 342}","{1: 209, 2: 187, 3: 105, 4: 37, 5: 58}",outputs\openalex_meta\submissions\openalex_huber_meta_w0.08_submission.csv
hgb_meta,0.5,0.599977384996916,0.8648757016840417,"1.932176089473,2.437990016010,2.863980497028,3.312703177134","{1: 697, 2: 760, 3: 415, 4: 268, 5: 354}","{1: 200, 2: 188, 3: 104, 4: 47, 5: 57}",outputs\openalex_meta\submissions\openalex_hgb_meta_w0.50_submission.csv
ridge_meta,1.0,0.5998929219315032,0.8532477947072975,"1.911361864895,2.430894558023,3.140527101590,3.323812897888","{1: 726, 2: 700, 3: 587, 4: 107, 5: 374}","{1: 193, 2: 191, 3: 133, 4: 14, 5: 65}",outputs\openalex_meta\submissions\openalex_ridge_meta_w1.00_submission.csv
ridge_meta,0.5,0.5996738857081971,0.8584603047313553,"1.997945307258,2.358328298511,2.984694892301,3.258526369388","{1: 736, 2: 597, 3: 632, 4: 183, 5: 346}","{1: 203, 2: 157, 3: 151, 4: 26, 5: 59}",outputs\openalex_meta\submissions\openalex_ridge_meta_w0.50_submission.csv
ridge_meta,0.15,0.5990684435810747,0.8628708901363272,"2.083080209584,2.343946676025,2.866211379160,3.184442877997","{1: 795, 2: 500, 3: 627, 4: 233, 5: 339}","{1: 220, 2: 126, 3: 157, 4: 38, 5: 55}",outputs\openalex_meta\submissions\openalex_ridge_meta_w0.15_submission.csv
huber_meta,0.15,0.5990260482879604,0.8640737770649559,"2.088237133018,2.354140560168,2.832301213396,3.176899153723","{1: 821, 2: 502, 3: 578, 4: 250, 5: 343}","{1: 225, 2: 132, 3: 141, 4: 40, 5: 58}",outputs\openalex_meta\submissions\openalex_huber_meta_w0.15_submission.csv
ridge_meta,0.35,0.5985037490615344,0.8572574178027266,"2.035323148071,2.366230812257,3.044326771034,3.211642478361","{1: 761, 2: 578, 3: 688, 4: 117, 5: 350}","{1: 209, 2: 154, 3: 164, 4: 10, 5: 59}",outputs\openalex_meta\submissions\openalex_ridge_meta_w0.35_submission.csv
extratrees_meta,0.08,0.5983706560700854,0.8564554931836408,"2.045488049907,2.473661469772,2.824837737361,3.140249809113","{1: 710, 2: 784, 3: 403, 4: 241, 5: 356}","{1: 204, 2: 197, 3: 98, 4: 37, 5: 60}",outputs\openalex_meta\submissions\openalex_extratrees_meta_w0.08_submission.csv
extratrees_meta,0.25,0.5977295851826102,0.8496391339214114,"2.080641134784,2.490061828600,2.980306085312,3.244969128545","{1: 814, 2: 713, 3: 465, 4: 175, 5: 327}","{1: 228, 2: 189, 3: 105, 4: 19, 5: 55}",outputs\openalex_meta\submissions\openalex_extratrees_meta_w0.25_submission.csv
hgb_meta,0.15,0.5974467419543454,0.8640737770649559,"2.116132736507,2.413533741263,2.857019513244,3.215329103173","{1: 880, 2: 531, 3: 485, 4: 263, 5: 335}","{1: 244, 2: 131, 3: 120, 4: 45, 5: 56}",outputs\openalex_meta\submissions\openalex_hgb_meta_w0.15_submission.csv
hgb_meta,0.35,0.597274660014661,0.8724939855653568,"2.145916640322,2.442879053420,2.814144200566,3.265366614476","{1: 978, 2: 488, 3: 391, 4: 287, 5: 350}","{1: 268, 2: 122, 3: 101, 4: 48, 5: 57}",outputs\openalex_meta\submissions\openalex_hgb_meta_w0.35_submission.csv
extratrees_meta,0.15,0.5965211569152828,0.8684843624699278,"2.038871039528,2.505019406398,2.739988476143,3.131339184692","{1: 724, 2: 819, 3: 270, 4: 308, 5: 373}","{1: 206, 2: 214, 3: 67, 4: 48, 5: 61}",outputs\openalex_meta\submissions\openalex_extratrees_meta_w0.15_submission.csv
extratrees_meta,0.5,0.5965171981021149,0.8757016840417001,"2.112490105062,2.442894352009,2.869398878016,3.181483180573","{1: 940, 2: 528, 3: 426, 4: 199, 5: 401}","{1: 262, 2: 131, 3: 105, 4: 36, 5: 62}",outputs\openalex_meta\submissions\openalex_extratrees_meta_w0.50_submission.csv
hgb_meta,0.08,0.5962768445568725,0.8580593424218124,"2.185513901642,2.491684790300,2.967394589083,3.176468240867","{1: 978, 2: 542, 3: 481, 4: 157, 5: 336}","{1: 265, 2: 152, 3: 104, 4: 19, 5: 56}",outputs\openalex_meta\submissions\openalex_hgb_meta_w0.08_submission.csv
extratrees_meta,0.35,0.5962610149058101,0.8660785886126704,"2.073845449073,2.434247146359,2.754333021370,3.214270133068","{1: 821, 2: 631, 3: 362, 4: 326, 5: 354}","{1: 229, 2: 155, 3: 103, 4: 48, 5: 61}",outputs\openalex_meta\submissions\openalex_extratrees_meta_w0.35_submission.csv
ridge_meta,0.08,0.5959130951924472,0.8664795509222133,"2.078595933388,2.365868143470,2.796140351330,3.146554992668","{1: 769, 2: 566, 3: 537, 4: 276, 5: 346}","{1: 216, 2: 141, 3: 131, 4: 49, 5: 59}",outputs\openalex_meta\submissions\openalex_ridge_meta_w0.08_submission.csv
extratrees_meta,1.0,0.5957682236489363,0.8724939855653568,"2.004416388540,2.449410117459,2.996194161361,3.338923833809","{1: 880, 2: 599, 3: 435, 4: 202, 5: 378}","{1: 249, 2: 153, 3: 104, 4: 29, 5: 61}",outputs\openalex_meta\submissions\openalex_extratrees_meta_w1.00_submission.csv
hgb_meta,0.25,0.5952926349324643,0.8644747393744988,"2.069349881747,2.490106275700,2.809565324758,3.214270133068","{1: 835, 2: 687, 3: 342, 4: 278, 5: 352}","{1: 228, 2: 191, 3: 73, 4: 47, 5: 57}",outputs\openalex_meta\submissions\openalex_hgb_meta_w0.25_submission.csv
hgb_meta,1.0,0.5939859934733362,0.859262229350441,"1.997093781860,2.424402705095,3.015123670475,3.765755280576","{1: 943, 2: 499, 3: 472, 4: 331, 5: 249}","{1: 261, 2: 131, 3: 104, 4: 54, 5: 46}",outputs\openalex_meta\submissions\openalex_hgb_meta_w1.00_submission.csv
