name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,thresholds
step18b_bge_m3_ridge_a3p0_w0p0375_l4p0,ridge_a3p0,0.0375,4.0,0.6633119832881308,0.0031356475428158115,0.0020514249088978698,0.14890771408427206,6,5,11,0,"{1: 121, 2: 63, 3: 56, 4: 36, 5: 22}","{1: 132, 2: 67, 3: 45, 4: 31, 5: 23}",89,53,36,0.19101123595505617,24,18,9,9,0,"1.893652,2.499663,3.244018,4.088896"
step18b_bge_m3_ridge_a3p0_w0p0300_l4p0,ridge_a3p0,0.03,4.0,0.663105276744804,0.002928940999489038,0.0018447183655710964,0.14555200938628546,4,5,9,0,"{1: 120, 2: 63, 3: 57, 4: 36, 5: 22}","{1: 132, 2: 67, 3: 45, 4: 31, 5: 23}",68,43,25,0.2647058823529412,20,15,9,9,0,"1.888220,2.498707,3.238934,4.091355"
step18b_bge_m3_ridge_a3p0_w0p0350_l4p0,ridge_a3p0,0.035,4.0,0.6627263894593892,0.0025500537140742408,0.001465831080156299,0.14890771408427203,6,4,10,0,"{1: 123, 2: 61, 3: 55, 4: 36, 5: 23}","{1: 133, 2: 66, 3: 45, 4: 31, 5: 23}",83,47,36,0.13253012048192772,24,14,9,8,0,"1.898589,2.499988,3.236908,4.075740"
step18b_bge_m3_ridge_a30p0_w0p0325_l2p0,ridge_a30p0,0.0325,2.0,0.6622263215810812,0.0020499858357662104,0.0009657632018482687,0.14890771408427206,7,9,16,0,"{1: 119, 2: 64, 3: 56, 4: 36, 5: 23}","{1: 129, 2: 71, 3: 43, 4: 31, 5: 24}",56,31,25,0.10714285714285714,25,8,10,13,0,"1.876032,2.496521,3.220082,4.061706"
step18b_bge_m3_ridge_a3p0_w0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6620979854294228,0.0019216496841077957,0.000837427050189854,0.14890771408427203,3,2,5,0,"{1: 122, 2: 61, 3: 56, 4: 37, 5: 22}","{1: 134, 2: 66, 3: 44, 4: 31, 5: 23}",61,36,25,0.18032786885245902,14,12,6,6,0,"1.894536,2.499977,3.234838,4.078996"
step18b_bge_m3_ridge_a1000p0_w0p0400_l0p5,ridge_a1000p0,0.04,0.5,0.6615971855888028,0.0014208498434877814,0.0003366272095698397,0.18582046576212438,12,20,32,1,"{1: 126, 2: 63, 3: 54, 4: 34, 5: 21}","{1: 143, 2: 62, 3: 42, 4: 29, 5: 22}",124,71,53,0.14516129032258066,0,29,15,18,0,"1.928661,2.546310,3.258578,4.111337"
step18b_bge_m3_ridge_a300p0_w0p0400_l1p0,ridge_a300p0,0.04,1.0,0.6614505319689861,0.0012741962236710869,0.00018997358975314516,0.17239764697017812,8,14,22,1,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 41, 4: 32, 5: 22}",91,52,39,0.14285714285714285,1,18,11,14,0,"1.915813,2.527223,3.246460,4.087393"
step18b_bge_m3_ridge_a300p0_w0p0400_l4p0,ridge_a300p0,0.04,4.0,0.6613586379978531,0.0011823022525381255,9.807961862018377e-05,0.17575335166816466,7,15,22,1,"{1: 125, 2: 62, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 64, 3: 40, 4: 32, 5: 22}",99,56,43,0.13131313131313133,1,19,10,15,0,"1.917409,2.540173,3.245256,4.082405"
step18b_bge_m3_ridge_a3p0_w0p0375_l0p5,ridge_a3p0,0.0375,0.5,0.6613366310280586,0.0011602952827436397,7.607264882569797e-05,0.18582046576212438,12,12,24,0,"{1: 123, 2: 68, 3: 51, 4: 35, 5: 21}","{1: 137, 2: 66, 3: 44, 4: 29, 5: 22}",123,70,53,0.13821138211382114,9,31,17,14,0,"1.902700,2.557291,3.265921,4.147594"
step18b_bge_m3_ridge_a30p0_w0p0350_l4p0,ridge_a30p0,0.035,4.0,0.6612697033650952,0.0010933676197801834,9.144985862241661e-06,0.1723976469701781,6,14,20,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 43, 4: 29, 5: 23}",91,52,39,0.14285714285714285,3,18,11,16,0,"1.917700,2.539694,3.249949,4.088076"
