name,w_qwen,w_e5,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,test_l1,thresholds
q0p25_e50p35_sc0p25_sp0p15_r0p00,0.25,0.35,0.25,0.15,0.0,0.6628471574551038,0.650069658700908,0.17629693815492756,"1.897738,2.492523,3.243610,4.051283"
q0p20_e50p40_sc0p25_sp0p15_r0p00,0.2,0.4,0.25,0.15,0.0,0.662739518438991,0.6490352657491003,0.1723976469701781,"1.893371,2.520679,3.248345,4.054166"
q0p30_e50p30_sc0p25_sp0p15_r0p00,0.3,0.3,0.25,0.15,0.0,0.6627487606048923,0.6484354745538596,0.17629693815492756,"1.899779,2.493630,3.249327,4.026111"
q0p25_e50p30_sc0p25_sp0p15_r0p05,0.25,0.3,0.25,0.15,0.05,0.6642579972782938,0.6459924463149251,0.16958552875895438,"1.908764,2.472272,3.173188,3.958150"
q0p25_e50p35_sc0p20_sp0p15_r0p05,0.25,0.35,0.2,0.15,0.05,0.664856034821243,0.6459886126109875,0.18246476106413784,"1.903517,2.528291,3.237774,4.015417"
q0p25_e50p35_sc0p25_sp0p10_r0p05,0.25,0.35,0.25,0.1,0.05,0.6633241743351814,0.6436087761143368,0.17294123345694096,"1.912309,2.506838,3.226696,4.017601"
q0p20_e50p35_sc0p25_sp0p20_r0p00,0.2,0.35,0.25,0.2,0.0,0.6652276493565612,0.6508306540742235,0.15505669983800047,"1.882215,2.478880,3.213875,4.031959"
q0p30_e50p35_sc0p20_sp0p15_r0p00,0.3,0.35,0.2,0.15,0.0,0.6602891452802844,0.6503631937865819,0.15226341878225863,"1.884054,2.497919,3.235706,4.028351"
q0p25_e50p40_sc0p20_sp0p15_r0p00,0.25,0.4,0.2,0.15,0.0,0.6625299338724702,0.64891765848128,0.17294123345694093,"1.889710,2.489089,3.240022,4.056213"
q0p30_e50p35_sc0p25_sp0p10_r0p00,0.3,0.35,0.25,0.1,0.0,0.6606628987657337,0.6475789286757498,0.1595184146649946,"1.898122,2.499554,3.217180,4.030612"
q0p25_e50p30_sc0p30_sp0p15_r0p00,0.25,0.3,0.3,0.15,0.0,0.6628813522307877,0.6515421250697462,0.16176810923397367,"1.898088,2.498524,3.243315,4.023266"
