id,score,pred
979,4.998690346591828,5
1106,2.4210775087813525,2
1894,1.7655719670468097,1
1718,1.5273914360215128,1
1989,1.451373562024409,1
2010,1.6638471173029652,1
2356,1.862079318703585,1
1179,2.0479967639037144,2
3001,1.809721249146421,1
796,3.634372346485143,4
1771,1.678730409191242,1
986,2.341966343288492,2
1725,1.242171547736112,1
1296,3.862706623358338,4
2983,1.7202586225888528,1
2666,2.216890885767497,2
2573,2.051762907238822,2
1999,2.951666017368835,3
1828,1.2627191590364362,1
1877,4.846597154394786,5
2087,1.7300948252726096,1
1581,1.805707486647018,1
1185,4.9029876874622085,5
1873,1.7838196898495524,1
952,3.1226589409678294,3
2572,1.2078073205355107,1
1835,4.1440036683640775,5
1320,1.8082295278415015,1
2083,1.7961577211108486,1
1310,3.7587434881465427,4
1053,3.2560321800899397,4
1698,1.8966420020558483,2
1372,2.47568533748477,2
2847,1.4479636495979213,1
2537,2.0502461864001753,2
2808,1.7892844402570276,1
1311,2.871631765904931,3
2863,2.153013502357818,2
3085,1.2705216472038368,1
1265,3.2890953027534753,4
2446,1.8022403363211972,1
2186,2.604538238740211,3
2898,1.777959049770629,1
2529,2.9368579069564507,3
2810,1.1473964646195287,1
997,1.8524940095175766,1
2836,1.4546832464433335,1
2194,1.5544743091534454,1
1964,1.7972017529282243,1
910,4.480797222865788,5
2032,1.4106688620354637,1
1405,4.649956475604309,5
1305,4.748542624138338,5
799,3.012184659298664,3
1145,3.747286910108575,4
1083,4.282506600373379,5
2913,2.478733398719932,2
1370,3.467412473414682,4
1379,2.988816701995545,3
2896,2.397338635526758,2
2406,2.188572575329101,2
3060,1.8168102522091627,1
2470,2.486072428716978,2
1678,4.20028477443068,5
877,2.4341064850209695,2
1972,2.081710068895737,2
1812,1.1080920253691853,1
2796,1.9886812596860206,2
3051,1.563107678310682,1
983,1.7613294355018259,1
1275,2.0339110037658497,2
1998,1.5138832477909432,1
2210,1.9881595823288194,2
2786,1.1945446952964747,1
951,3.518793970539642,4
2465,1.1105288820353785,1
1228,1.4930993207736396,1
2524,1.4831187363033365,1
2093,1.4427842664520267,1
1921,4.213142489064961,5
3034,1.1883913841984133,1
1676,3.12690633816575,3
1214,3.617153882594345,4
2275,2.1818010865089654,2
2789,2.5519406666600024,3
756,2.252782953026432,2
1130,2.5728083407413465,3
1555,1.2959858318085558,1
1487,1.5331185251024344,1
2041,1.6190451705478208,1
1931,1.3644338466775103,1
1349,2.0272886762052456,2
725,2.6799775990963064,3
1006,4.28771480695896,5
