id,score,pred
2491,1.7865956293207934,1
2707,1.6681529329793463,1
1248,3.4534393330823883,4
1433,2.8229480186691593,3
2339,1.3626144876715713,1
773,2.1176714080999743,2
1330,3.8696052573332773,4
1561,2.067233703987238,2
1904,1.5942584245031788,1
912,1.703253486231638,1
2420,1.7331680239894884,1
888,1.8512167505916914,1
1780,1.7516535616286717,1
1395,3.691972730102787,4
2551,2.8542378058608646,3
1778,2.1719906072033868,2
2060,2.417961112859137,2
2834,1.1486249522789347,1
2089,2.463114901534205,2
744,1.1402304814353255,1
2205,2.14208618483323,2
2156,3.4274136396726966,4
1229,3.8744786998895275,4
963,2.56909554267667,3
2769,2.5654209106147188,3
885,1.7660345970134472,1
2712,2.5450628083023252,3
2657,1.7319838043741957,1
1545,2.8488927929577526,3
1509,1.0397978659658154,1
1791,1.4992023897316615,1
2322,1.5136108067099916,1
1838,1.7442850733019002,1
749,3.2025192410298455,4
947,3.1582921312905707,4
981,2.1447151148181547,2
2471,1.8690087030640257,1
2180,1.1251545668247527,1
1895,1.903729423368811,1
2113,1.7070272876507242,1
1255,3.517798627344614,4
1893,1.7365203426600657,1
2277,1.4885359787969126,1
1955,2.6714599235193797,3
2346,1.6091277677667646,1
2871,1.212011131164044,1
874,3.159193905738612,4
2589,2.2457305089068926,2
1616,2.7157623311427517,3
2653,1.84595644128135,1
2305,2.020820411498671,2
2357,1.729783968402983,1
1890,1.533923619253245,1
1701,1.7730938884909517,1
3005,1.613505130329258,1
2591,1.8482690491554856,1
2148,2.6317900556713054,3
1623,2.6837521144368357,3
2410,1.8017597630246511,1
2165,1.5286645173906523,1
3063,2.081168524565985,2
2535,1.3184820187991992,1
1222,2.104145893185675,2
1816,1.256181155732027,1
1700,4.2541719913630205,5
811,2.3307760271124405,2
2639,1.735016911332394,1
2208,2.085569781341537,2
2538,1.6549236755879098,1
1087,3.557783463480377,4
1662,1.3349685082382123,1
3077,1.5672133612999497,1
2917,2.2737031027083807,2
1922,2.1334293082073423,2
2866,1.752649630543767,1
2691,2.06774104875473,2
1557,1.4931029283069865,1
1896,2.00458709895467,2
2247,1.8354790549134794,1
2583,2.162967450751685,2
2893,2.42502827868887,2
1126,1.9746866737177349,2
2877,3.528017969596653,4
1332,3.210142853271869,4
2209,1.448622468157979,1
2460,1.8057181413686663,1
1054,2.304866451642113,2
1455,1.2379973731320197,1
2292,2.07141489916036,2
1753,1.067466478431521,1
2793,2.441980745180272,2
2190,2.070311601513612,2
2848,1.4980448174303564,1
1813,2.4262026633701055,2
1907,1.3983115837410578,1
940,2.2225211021933746,2
2066,1.1138246574975186,1
2304,1.3164412067306777,1
2211,1.3556172041640155,1
1464,3.067345322453221,3
1337,4.358046187884325,5
1592,1.5292967432127131,1
2805,1.319612111428216,1
1764,1.3471648689652453,1
1195,2.5297974024924796,3
2486,3.4514844301123913,4
1988,1.9872207341056,2
770,3.249252619193426,4
2153,1.7216564327294313,1
1615,2.531577798318542,3
2497,1.5983173952492329,1
2103,2.1312892772151733,2
1540,2.0238177764901644,2
1013,1.4261961351769554,1
868,3.0181590903785485,3
1150,3.013520354083081,3
2188,1.312094757073507,1
2282,1.9634955325196075,2
1157,1.4897423008023336,1
2826,1.14017357019117,1
2400,1.9461459598202584,1
2855,1.4385454367131127,1
2570,1.5487086374671242,1
2154,1.60800270600438,1
2676,1.998709531401421,2
2931,3.3388128811854525,4
2518,1.4939701415706788,1
2409,1.3454351927294825,1
2844,2.9207005913291657,3
1632,2.8877579828767246,3
2161,1.83914948897136,1
937,2.104059844595622,2
2438,1.4894866882909006,1
2822,2.237005652408365,2
1510,1.097213105903995,1
3079,4.052307510292119,5
1733,3.6060825420605136,4
1122,3.7409133150503426,4
1354,2.5561071677926206,3
1133,3.2510209105797996,4
1254,2.748931489312076,3
2057,2.0484382710371576,2
1178,1.4003766962119375,1
2122,2.2475459891595744,2
1342,4.198809732989023,5
1803,3.4842716430841025,4
2967,1.847193417983753,1
959,3.940083979691982,5
1143,4.713868456087726,5
2868,2.5026199050698668,3
2030,3.4567472883030237,4
1110,3.183821736198221,4
