name,w_qwen,w_e5,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,test_l1,knob_distance,thresholds,pub_dist,pri_dist
q0p25_e50p35_sc0p25_sp0p15_r0p00,0.25,0.35,0.25,0.15,0.0,0.6630267791071873,0.654253953980745,0.1651238139319602,0,"1.878204,2.499992,3.227487,4.100002","{1: 127, 2: 56, 3: 55, 4: 39, 5: 21}","{1: 138, 2: 63, 3: 47, 4: 28, 5: 22}"
q0p20_e50p40_sc0p25_sp0p15_r0p00,0.2,0.4,0.25,0.15,0.0,0.6619138206968234,0.6510667040149503,0.1522634187822586,2,"1.865651,2.499405,3.236200,4.089534","{1: 123, 2: 60, 3: 54, 4: 38, 5: 23}","{1: 135, 2: 66, 3: 47, 4: 28, 5: 22}"
q0p30_e50p30_sc0p25_sp0p15_r0p00,0.3,0.3,0.25,0.15,0.0,0.6620518075347173,0.6539744789551265,0.16176810923397367,2,"1.869068,2.480550,3.228683,4.071442","{1: 127, 2: 56, 3: 54, 4: 40, 5: 21}","{1: 137, 2: 64, 3: 49, 4: 26, 5: 22}"
q0p25_e50p30_sc0p25_sp0p15_r0p05,0.25,0.3,0.25,0.15,0.05,0.6629232939275111,0.6485724978501155,0.16233053287621832,2,"1.894018,2.501299,3.242864,4.056231","{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 137, 2: 66, 3: 47, 4: 27, 5: 21}"
q0p25_e50p35_sc0p20_sp0p15_r0p05,0.25,0.35,0.2,0.15,0.05,0.6664767004533545,0.6499958794665356,0.15897482817823178,2,"1.882923,2.498606,3.243890,4.068799","{1: 125, 2: 60, 3: 55, 4: 35, 5: 23}","{1: 135, 2: 66, 3: 49, 4: 28, 5: 20}"
q0p25_e50p35_sc0p25_sp0p10_r0p05,0.25,0.35,0.25,0.1,0.05,0.6629609642892578,0.6487604869006498,0.1556191234802452,2,"1.891102,2.495225,3.218185,4.037878","{1: 125, 2: 59, 3: 54, 4: 37, 5: 23}","{1: 136, 2: 65, 3: 48, 4: 26, 5: 23}"
q0p20_e50p35_sc0p25_sp0p20_r0p00,0.2,0.35,0.25,0.2,0.0,0.6629219860993549,0.6512036818792795,0.15897482817823175,2,"1.858125,2.492221,3.231168,4.075336","{1: 121, 2: 62, 3: 54, 4: 39, 5: 22}","{1: 135, 2: 68, 3: 44, 4: 30, 5: 21}"
q0p30_e50p35_sc0p20_sp0p15_r0p00,0.3,0.35,0.2,0.15,0.0,0.6656136096216758,0.6540042601438723,0.16176810923397364,2,"1.868521,2.494951,3.244520,4.092613","{1: 128, 2: 57, 3: 52, 4: 39, 5: 22}","{1: 136, 2: 64, 3: 49, 4: 28, 5: 21}"
q0p25_e50p40_sc0p20_sp0p15_r0p00,0.25,0.4,0.2,0.15,0.0,0.6629107788693338,0.6528077536216184,0.15841240453598704,2,"1.872862,2.495355,3.262119,4.118809","{1: 127, 2: 58, 3: 53, 4: 38, 5: 22}","{1: 136, 2: 64, 3: 49, 4: 28, 5: 21}"
q0p30_e50p35_sc0p25_sp0p10_r0p00,0.3,0.35,0.25,0.1,0.0,0.6633977699699624,0.6512129607398485,0.16176810923397364,2,"1.878474,2.503734,3.249527,4.078979","{1: 128, 2: 58, 3: 52, 4: 37, 5: 23}","{1: 136, 2: 64, 3: 51, 4: 25, 5: 22}"
q0p25_e50p30_sc0p30_sp0p15_r0p00,0.25,0.3,0.3,0.15,0.0,0.6623760736202988,0.6540825960268194,0.1684795186299468,2,"1.881483,2.491362,3.240133,4.087158","{1: 126, 2: 56, 3: 56, 4: 39, 5: 21}","{1: 140, 2: 61, 3: 47, 4: 28, 5: 22}"
q0p20_e50p40_sc0p30_sp0p10_r0p00,0.2,0.4,0.3,0.1,0.0,0.6599319956704015,0.6520767941301628,0.15226341878225863,4,"1.872834,2.496222,3.226477,4.097887","{1: 123, 2: 60, 3: 55, 4: 39, 5: 21}","{1: 138, 2: 63, 3: 45, 4: 29, 5: 23}"
q0p25_e50p35_sc0p30_sp0p10_r0p00,0.25,0.35,0.3,0.1,0.0,0.662339796322784,0.6553442970473968,0.1628741193629812,2,"1.872994,2.502299,3.249488,4.114085","{1: 126, 2: 58, 3: 56, 4: 37, 5: 21}","{1: 137, 2: 64, 3: 50, 4: 25, 5: 22}"
q0p30_e50p30_sc0p20_sp0p15_r0p05,0.3,0.3,0.2,0.15,0.05,0.6659152005967608,0.651190216578371,0.15672513360925278,4,"1.877459,2.483617,3.231383,4.059535","{1: 126, 2: 59, 3: 54, 4: 37, 5: 22}","{1: 136, 2: 64, 3: 51, 4: 27, 5: 20}"
q0p25_e50p25_sc0p25_sp0p20_r0p05,0.25,0.25,0.25,0.2,0.05,0.6663110480389174,0.6527323285319376,0.16568623757420492,3,"1.897650,2.503473,3.217564,4.055217","{1: 126, 2: 59, 3: 54, 4: 38, 5: 21}","{1: 139, 2: 64, 3: 45, 4: 29, 5: 21}"
q0p30_e50p25_sc0p25_sp0p15_r0p05,0.3,0.25,0.25,0.15,0.05,0.6649793202910266,0.6497558795509775,0.16233053287621835,3,"1.883828,2.499116,3.212676,4.048662","{1: 125, 2: 60, 3: 54, 4: 38, 5: 21}","{1: 138, 2: 64, 3: 47, 4: 28, 5: 21}"
q0p20_e50p30_sc0p30_sp0p15_r0p05,0.2,0.3,0.3,0.15,0.05,0.6622506479544235,0.6481151893607584,0.16287411936298124,4,"1.899371,2.497699,3.230940,4.054709","{1: 123, 2: 60, 3: 59, 4: 35, 5: 21}","{1: 141, 2: 62, 3: 46, 4: 28, 5: 21}"
q0p20_e50p40_sc0p20_sp0p15_r0p05,0.2,0.4,0.2,0.15,0.05,0.6654970204614925,0.6500491134863466,0.1690419422721915,4,"1.883606,2.514942,3.246852,4.070634","{1: 126, 2: 61, 3: 52, 4: 36, 5: 23}","{1: 134, 2: 68, 3: 47, 4: 28, 5: 21}"
q0p30_e50p25_sc0p20_sp0p20_r0p05,0.3,0.25,0.2,0.2,0.05,0.6661485125062885,0.6514069289089583,0.1690419422721915,5,"1.879263,2.495476,3.228803,4.065280","{1: 125, 2: 60, 3: 54, 4: 38, 5: 21}","{1: 137, 2: 67, 3: 47, 4: 27, 5: 20}"
q0p25_e50p30_sc0p20_sp0p20_r0p05,0.25,0.3,0.2,0.2,0.05,0.6677098082168574,0.6524166979804777,0.16568623757420498,4,"1.885337,2.492044,3.229996,4.072092","{1: 126, 2: 59, 3: 55, 4: 37, 5: 21}","{1: 138, 2: 65, 3: 46, 4: 29, 5: 20}"
q0p20_e50p35_sc0p30_sp0p10_r0p05,0.2,0.35,0.3,0.1,0.05,0.6611533638557949,0.6494260283234878,0.1628741193629812,4,"1.896379,2.496657,3.224233,4.064140","{1: 125, 2: 58, 3: 57, 4: 36, 5: 22}","{1: 138, 2: 63, 3: 49, 4: 27, 5: 21}"
q0p20_e50p45_sc0p20_sp0p15_r0p00,0.2,0.45,0.2,0.15,0.0,0.6639520706387316,0.6516862281258943,0.15841240453598704,3,"1.880496,2.495646,3.266032,4.121100","{1: 127, 2: 57, 3: 53, 4: 38, 5: 23}","{1: 136, 2: 65, 3: 48, 4: 28, 5: 21}"
q0p30_e50p40_sc0p15_sp0p15_r0p00,0.3,0.4,0.15,0.15,0.0,0.6678641013814652,0.653532408724204,0.16233053287621838,3,"1.869449,2.495319,3.264986,4.110207","{1: 128, 2: 58, 3: 51, 4: 38, 5: 23}","{1: 136, 2: 65, 3: 50, 4: 27, 5: 20}"
q0p35_e50p30_sc0p20_sp0p15_r0p00,0.35,0.3,0.2,0.15,0.0,0.6625370033190856,0.6506149451061332,0.16568623757420492,3,"1.864383,2.493306,3.237542,4.076745","{1: 127, 2: 60, 3: 50, 4: 39, 5: 22}","{1: 136, 2: 65, 3: 49, 4: 27, 5: 21}"
q0p20_e50p30_sc0p25_sp0p20_r0p05,0.2,0.3,0.25,0.2,0.05,0.6664285271560597,0.6501633166169973,0.16233053287621835,4,"1.884056,2.485507,3.219574,4.055752","{1: 122, 2: 62, 3: 55, 4: 38, 5: 21}","{1: 138, 2: 65, 3: 45, 4: 29, 5: 21}"
q0p25_e50p25_sc0p30_sp0p15_r0p05,0.25,0.25,0.3,0.15,0.05,0.6638966930311833,0.6483424358486394,0.16233053287621835,3,"1.884482,2.490558,3.207200,4.041413","{1: 123, 2: 61, 3: 55, 4: 38, 5: 21}","{1: 138, 2: 65, 3: 45, 4: 28, 5: 22}"
q0p30_e50p30_sc0p25_sp0p10_r0p05,0.3,0.3,0.25,0.1,0.05,0.6643248699945635,0.648693384509195,0.17294123345694093,4,"1.889762,2.484708,3.225780,4.048703","{1: 128, 2: 56, 3: 56, 4: 36, 5: 22}","{1: 137, 2: 63, 3: 51, 4: 26, 5: 21}"
q0p25_e50p30_sc0p25_sp0p20_r0p00,0.25,0.3,0.25,0.2,0.0,0.6639569346399525,0.654197174218748,0.1819023374218931,2,"1.886678,2.520415,3.257907,4.102468","{1: 130, 2: 55, 3: 54, 4: 38, 5: 21}","{1: 140, 2: 63, 3: 46, 4: 28, 5: 21}"
q0p20_e50p40_sc0p25_sp0p10_r0p05,0.2,0.4,0.25,0.1,0.05,0.6624979856035007,0.6484302235204233,0.1589748281782318,4,"1.886709,2.497355,3.227812,4.059538","{1: 126, 2: 59, 3: 54, 4: 36, 5: 23}","{1: 135, 2: 66, 3: 48, 4: 27, 5: 22}"
q0p15_e50p40_sc0p30_sp0p15_r0p00,0.15,0.4,0.3,0.15,0.0,0.6608452227043857,0.6489083795363113,0.15672513360925278,3,"1.879330,2.512591,3.260381,4.104626","{1: 124, 2: 59, 3: 59, 4: 35, 5: 21}","{1: 138, 2: 64, 3: 46, 4: 29, 5: 21}"
q0p15_e50p45_sc0p25_sp0p15_r0p00,0.15,0.45,0.25,0.15,0.0,0.6621337575492422,0.6491220792516372,0.17910905636615124,2,"1.882378,2.530662,3.274736,4.106028","{1: 125, 2: 62, 3: 54, 4: 34, 5: 23}","{1: 139, 2: 66, 3: 44, 4: 27, 5: 22}"
