id,score,pred,p_label_1,p_label_2,p_label_3,p_label_4,p_label_5
718,3.0,3,0.0,0.0,1.0,0.0,0.0
723,4.0,4,0.0,0.0,0.0,1.0,0.0
725,3.0,3,0.0,0.0,1.0,0.0,0.0
729,2.0,2,0.0,1.0,0.0,0.0,0.0
748,2.0,2,0.0,1.0,0.0,0.0,0.0
756,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
767,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
769,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
796,3.0,3,0.0,0.0,1.0,0.0,0.0
799,3.0,3,0.0,0.0,1.0,0.0,0.0
800,3.0,3,0.0,0.0,1.0,0.0,0.0
820,4.0,4,0.0,0.0,0.0,1.0,0.0
828,3.0,3,0.0,0.0,1.0,0.0,0.0
849,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
857,2.0,2,0.0,1.0,0.0,0.0,0.0
863,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
873,1.0,1,1.0,0.0,0.0,0.0,0.0
877,5.0,5,0.0,0.0,0.0,0.0,1.0
884,1.0,1,1.0,0.0,0.0,0.0,0.0
892,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
896,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
899,3.0,3,0.0,0.0,1.0,0.0,0.0
908,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
910,3.0,3,0.0,0.0,1.0,0.0,0.0
920,2.0,2,0.0,1.0,0.0,0.0,0.0
929,3.0,3,0.0,0.0,1.0,0.0,0.0
931,3.0,3,0.0,0.0,1.0,0.0,0.0
933,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
951,2.0,2,0.0,1.0,0.0,0.0,0.0
952,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
979,4.0,4,0.0,0.0,0.0,1.0,0.0
982,3.0,3,0.0,0.0,1.0,0.0,0.0
983,3.0,3,0.0,0.0,1.0,0.0,0.0
986,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
987,2.0,2,0.0,1.0,0.0,0.0,0.0
989,5.0,5,0.0,0.0,0.0,0.0,1.0
990,3.0,3,0.0,0.0,1.0,0.0,0.0
996,2.0,2,0.0,1.0,0.0,0.0,0.0
997,3.0,3,0.0,0.0,1.0,0.0,0.0
998,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1006,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1007,1.0,1,1.0,0.0,0.0,0.0,0.0
1011,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1032,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1042,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1051,2.0,2,0.0,1.0,0.0,0.0,0.0
1053,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1060,2.0,2,0.0,1.0,0.0,0.0,0.0
1061,2.0,2,0.0,1.0,0.0,0.0,0.0
1068,1.0,1,1.0,0.0,0.0,0.0,0.0
1074,5.0,5,0.0,0.0,0.0,0.0,1.0
1082,3.0,3,0.0,0.0,1.0,0.0,0.0
1083,3.0,3,0.0,0.0,1.0,0.0,0.0
1106,1.0,1,1.0,0.0,0.0,0.0,0.0
1109,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1114,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1120,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1123,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1130,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1132,3.0,3,0.0,0.0,1.0,0.0,0.0
1135,3.0,3,0.0,0.0,1.0,0.0,0.0
1138,3.0,3,0.0,0.0,1.0,0.0,0.0
1145,2.0,2,0.0,1.0,0.0,0.0,0.0
1163,1.0,1,1.0,0.0,0.0,0.0,0.0
1172,1.0,1,1.0,0.0,0.0,0.0,0.0
1179,1.0,1,1.0,0.0,0.0,0.0,0.0
1180,1.0,1,1.0,0.0,0.0,0.0,0.0
1185,5.0,5,0.0,0.0,0.0,0.0,1.0
1208,2.0,2,0.0,1.0,0.0,0.0,0.0
1209,2.0,2,0.0,1.0,0.0,0.0,0.0
1211,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1214,3.0,3,0.0,0.0,1.0,0.0,0.0
1228,2.0,2,0.0,1.0,0.0,0.0,0.0
1230,3.0,3,0.0,0.0,1.0,0.0,0.0
1232,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1244,3.0,3,0.0,0.0,1.0,0.0,0.0
1265,1.0,1,1.0,0.0,0.0,0.0,0.0
1275,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
1282,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1296,4.0,4,0.0,0.0,0.0,1.0,0.0
1298,1.0,1,1.0,0.0,0.0,0.0,0.0
1299,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1302,5.0,5,0.0,0.0,0.0,0.0,1.0
1305,3.0,3,0.0,0.0,1.0,0.0,0.0
1310,4.0,4,0.0,0.0,0.0,1.0,0.0
1311,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
1313,5.0,5,0.0,1.9287498933537385e-22,0.0,0.0,1.0
1320,3.0,3,0.0,0.0,1.0,0.0,0.0
1321,3.0,3,0.0,0.0,1.0,0.0,0.0
1349,5.0,5,0.0,0.0,0.0,0.0,1.0
1350,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1368,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1370,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
1372,5.0,5,0.0,0.0,0.0,0.0,1.0
1379,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1400,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
1405,5.0,5,0.0,0.0,0.0,0.0,1.0
1419,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
1427,1.0,1,1.0,0.0,0.0,0.0,0.0
1429,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1436,1.0,1,1.0,0.0,0.0,0.0,0.0
1441,1.0,1,1.0,0.0,0.0,0.0,0.0
1442,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1444,1.0,1,1.0,0.0,0.0,0.0,0.0
1465,1.0,1,1.0,0.0,0.0,0.0,0.0
1467,1.0,1,1.0,0.0,0.0,0.0,0.0
1481,1.0,1,1.0,0.0,0.0,0.0,0.0
1482,1.0,1,1.0,0.0,0.0,0.0,0.0
1486,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1487,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1500,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1508,1.0,1,1.0,0.0,0.0,0.0,0.0
1534,1.0,1,1.0,0.0,0.0,0.0,0.0
1555,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1569,1.0,1,1.0,0.0,0.0,0.0,0.0
1573,1.0,1,1.0,0.0,0.0,0.0,0.0
1579,2.0,2,0.0,1.0,0.0,0.0,0.0
1581,1.0,1,1.0,0.0,0.0,0.0,0.0
1583,1.0,1,1.0,0.0,0.0,0.0,0.0
1589,1.0,1,1.0,0.0,0.0,0.0,0.0
1602,1.0,1,1.0,0.0,0.0,0.0,0.0
1626,1.0,1,1.0,0.0,0.0,0.0,0.0
1627,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1644,1.0,1,1.0,0.0,0.0,0.0,0.0
1648,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1649,1.0,1,1.0,0.0,0.0,0.0,0.0
1664,1.0,1,1.0,0.0,0.0,0.0,0.0
1676,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1678,2.0,2,0.0,1.0,0.0,0.0,0.0
1698,1.0,1,1.0,0.0,0.0,0.0,0.0
1699,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1704,1.0,1,1.0,0.0,0.0,0.0,0.0
1710,1.0,1,1.0,0.0,0.0,0.0,0.0
1718,2.0,2,0.0,1.0,0.0,0.0,0.0
1725,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1737,1.0,1,1.0,0.0,0.0,0.0,0.0
1747,2.0,2,0.0,1.0,0.0,0.0,0.0
1757,1.0,1,1.0,0.0,0.0,0.0,0.0
1768,1.0,1,1.0,0.0,0.0,0.0,0.0
1771,1.0,1,1.0,0.0,0.0,0.0,0.0
1773,1.0,1,1.0,0.0,0.0,0.0,0.0
1806,1.0,1,1.0,0.0,0.0,0.0,0.0
1812,1.0,1,1.0,0.0,0.0,0.0,0.0
1814,2.0,2,0.0,1.0,0.0,0.0,0.0
1824,1.0,1,1.0,0.0,0.0,0.0,0.0
1827,1.0,1,1.0,0.0,0.0,0.0,0.0
1828,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1834,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1835,1.0,1,1.0,0.0,0.0,0.0,0.0
1851,1.0,1,1.0,0.0,0.0,0.0,0.0
1859,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1873,1.0,1,1.0,0.0,0.0,0.0,0.0
1877,1.0,1,1.0,0.0,0.0,0.0,0.0
1894,1.0,1,1.0,0.0,0.0,0.0,0.0
1900,1.0,1,1.0,0.0,0.0,0.0,0.0
1908,1.0,1,1.0,0.0,0.0,0.0,0.0
1910,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1921,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
1925,2.0,2,0.0,1.0,0.0,0.0,0.0
