id,Label,oof_score,oof_pred,p_label_1,p_label_2,p_label_3,p_label_4,p_label_5
0,1,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
1,1,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
2,2,3.0,3,0.0,0.0,1.0,0.0,0.0
3,1,1.0,1,1.0,0.0,0.0,0.0,0.0
4,1,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
5,2,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
6,3,1.0,1,1.0,0.0,0.0,0.0,0.0
7,3,3.0,3,0.0,0.0,1.0,0.0,0.0
8,4,5.0,5,0.0,0.0,0.0,0.0,1.0
9,1,3.0,3,0.0,0.0,1.0,0.0,0.0
10,3,4.0,4,0.0,0.0,0.0,1.0,0.0
11,4,1.0,1,1.0,0.0,0.0,0.0,0.0
12,4,4.0,4,0.0,0.0,0.0,1.0,0.0
13,2,1.0,1,1.0,0.0,0.0,0.0,0.0
14,5,4.0,4,0.0,0.0,0.0,1.0,0.0
15,2,1.0,1,1.0,0.0,0.0,0.0,0.0
16,4,2.0,2,0.0,1.0,0.0,0.0,0.0
17,5,5.0,5,0.0,0.0,0.0,0.0,1.0
18,5,4.0,4,0.0,0.0,0.0,1.0,0.0
19,4,4.0,4,0.0,0.0,0.0,1.0,0.0
20,4,5.0,5,0.0,0.0,0.0,0.0,1.0
21,2,2.0,2,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
22,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
23,5,5.0,5,0.0,0.0,0.0,0.0,1.0
24,3,1.0,1,1.0,0.0,0.0,0.0,0.0
25,2,1.0,1,1.0,0.0,0.0,0.0,0.0
26,5,5.0,5,0.0,0.0,0.0,0.0,1.0
27,4,1.0,1,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22
28,4,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
29,4,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
30,4,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
31,5,1.0,1,1.0,0.0,0.0,0.0,0.0
32,5,1.0,1,1.0,0.0,0.0,0.0,0.0
33,4,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
34,3,3.0,3,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22
35,3,3.0,3,0.0,0.0,1.0,0.0,0.0
36,3,1.0,1,1.0,0.0,0.0,0.0,0.0
37,4,5.0,5,0.0,0.0,0.0,0.0,1.0
38,5,4.0,4,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22
39,5,5.0,5,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0
40,3,3.0,3,0.0,0.0,1.0,0.0,0.0
41,5,3.0,3,0.0,0.0,1.0,0.0,0.0
42,5,3.0,3,0.0,0.0,1.0,0.0,0.0
43,5,3.0,3,0.0,0.0,1.0,0.0,0.0
