doi_norm,coci_found,coci_error,coci_citation_count
10.1007/978-1-4757-3452-2_14,True,,0
10.1007/978-3-030-20528-7_1,True,,16
10.1007/978-3-030-20528-7_11,True,,4
10.1007/978-3-030-20528-7_13,True,,1
10.1007/978-3-030-20528-7_15,True,,11
10.1007/978-3-030-20528-7_2,True,,2
10.1007/978-3-030-20528-7_20,True,,15
10.1007/978-3-030-20528-7_21,True,,2
10.1007/978-3-030-20528-7_22,True,,3
10.1007/978-3-030-20528-7_25,True,,0
10.1007/978-3-030-20528-7_3,True,,2
10.1007/978-3-030-20528-7_4,True,,5
10.1007/978-3-030-20528-7_5,True,,0
10.1007/978-3-030-20528-7_6,True,,1
10.1007/978-3-030-20528-7_8,True,,0
10.1007/978-3-030-20528-7_9,True,,6
10.1007/978-3-030-25540-4_10,True,,4
10.1007/978-3-030-25540-4_11,True,,31
10.1007/978-3-030-25540-4_12,True,,3
10.1007/978-3-030-25540-4_13,True,,2
10.1007/978-3-030-25540-4_14,True,,36
10.1007/978-3-030-25540-4_16,True,,12
10.1007/978-3-030-25540-4_19,True,,43
10.1007/978-3-030-25540-4_21,True,,19
10.1007/978-3-030-25540-4_22,True,,9
10.1007/978-3-030-25540-4_23,True,,20
10.1007/978-3-030-25540-4_24,True,,59
10.1007/978-3-030-25540-4_25,True,,134
10.1007/978-3-030-25540-4_26,True,,287
10.1007/978-3-030-25540-4_27,True,,7
10.1007/978-3-030-25540-4_29,True,,35
10.1007/978-3-030-25540-4_3,True,,4
10.1007/978-3-030-25540-4_30,True,,5
10.1007/978-3-030-25540-4_31,True,,12
10.1007/978-3-030-25540-4_33,True,,2
10.1007/978-3-030-25540-4_34,True,,1
10.1007/978-3-030-25540-4_35,True,,22
10.1007/978-3-030-25540-4_36,True,,22
10.1007/978-3-030-25540-4_37,True,,6
10.1007/978-3-030-25540-4_4,True,,1
10.1007/978-3-030-25540-4_5,True,,11
10.1007/978-3-030-25540-4_6,True,,23
10.1007/978-3-030-25540-4_7,True,,46
10.1007/978-3-030-25540-4_8,True,,10
10.1007/978-3-030-25543-5_10,True,,1
10.1007/978-3-030-25543-5_11,True,,7
10.1007/978-3-030-25543-5_13,True,,20
10.1007/978-3-030-25543-5_15,True,,22
10.1007/978-3-030-25543-5_17,True,,15
10.1007/978-3-030-25543-5_18,True,,11
10.1007/978-3-030-25543-5_19,True,,1
10.1007/978-3-030-25543-5_2,True,,11
10.1007/978-3-030-25543-5_22,True,,3
10.1007/978-3-030-25543-5_23,True,,15
10.1007/978-3-030-25543-5_24,True,,12
10.1007/978-3-030-25543-5_25,True,,6
10.1007/978-3-030-25543-5_26,True,,9
10.1007/978-3-030-25543-5_28,True,,15
10.1007/978-3-030-25543-5_29,True,,8
10.1007/978-3-030-25543-5_3,True,,0
10.1007/978-3-030-25543-5_30,True,,5
10.1007/978-3-030-25543-5_4,True,,4
10.1007/978-3-030-25543-5_5,True,,41
10.1007/978-3-030-25543-5_6,True,,8
10.1007/978-3-030-25543-5_7,True,,18
10.1007/978-3-030-25543-5_8,True,,4
10.1007/978-3-030-25543-5_9,True,,9
10.1007/978-3-030-28423-7_1,True,,2
10.1007/978-3-030-28423-7_3,True,,6
10.1007/978-3-030-28423-7_4,True,,0
10.1007/978-3-030-28423-7_5,True,,1
10.1007/978-3-030-28423-7_6,True,,3
10.1007/978-3-030-28423-7_7,True,,4
10.1007/978-3-030-28423-7_8,True,,1
10.1007/978-3-030-28423-7_9,True,,0
10.1007/978-3-030-34621-8_8,True,,20
10.1007/978-3-030-37446-4_1,True,,1
10.1007/978-3-030-37446-4_11,True,,9
10.1007/978-3-030-37446-4_12,True,,8
10.1007/978-3-030-37446-4_13,True,,4
10.1007/978-3-030-37446-4_2,True,,2
10.1007/978-3-030-37446-4_3,True,,1
10.1007/978-3-030-37446-4_4,True,,0
10.1007/978-3-030-37446-4_6,True,,0
10.1007/978-3-030-37446-4_7,True,,1
10.1007/978-3-030-37446-4_8,True,,3
10.1007/978-3-030-37446-4_9,True,,14
10.1007/978-3-030-53288-8_1,True,,147
10.1007/978-3-030-53288-8_10,True,,23
10.1007/978-3-030-53288-8_11,True,,6
10.1007/978-3-030-53288-8_12,True,,13
10.1007/978-3-030-53288-8_13,True,,3
10.1007/978-3-030-53288-8_15,True,,6
10.1007/978-3-030-53288-8_16,True,,4
10.1007/978-3-030-53288-8_17,True,,2
10.1007/978-3-030-53288-8_18,True,,12
10.1007/978-3-030-53288-8_19,True,,9
10.1007/978-3-030-53288-8_2,True,,76
10.1007/978-3-030-53288-8_20,True,,11
10.1007/978-3-030-53288-8_22,True,,32
10.1007/978-3-030-53288-8_23,True,,20
10.1007/978-3-030-53288-8_24,True,,10
10.1007/978-3-030-53288-8_25,True,,7
10.1007/978-3-030-53288-8_26,True,,12
10.1007/978-3-030-53288-8_27,True,,4
10.1007/978-3-030-53288-8_28,True,,18
10.1007/978-3-030-53288-8_29,True,,4
10.1007/978-3-030-53288-8_30,True,,4
10.1007/978-3-030-53288-8_32,True,,4
10.1007/978-3-030-53288-8_4,True,,54
10.1007/978-3-030-53288-8_5,True,,6
10.1007/978-3-030-53288-8_6,True,,37
10.1007/978-3-030-53291-8_1,True,,12
10.1007/978-3-030-53291-8_10,True,,26
10.1007/978-3-030-53291-8_12,True,,32
10.1007/978-3-030-53291-8_13,True,,6
10.1007/978-3-030-53291-8_14,True,,53
10.1007/978-3-030-53291-8_15,True,,4
10.1007/978-3-030-53291-8_16,True,,7
10.1007/978-3-030-53291-8_18,True,,6
10.1007/978-3-030-53291-8_19,True,,8
10.1007/978-3-030-53291-8_2,True,,9
10.1007/978-3-030-53291-8_20,True,,6
10.1007/978-3-030-53291-8_21,True,,11
10.1007/978-3-030-53291-8_23,True,,0
10.1007/978-3-030-53291-8_25,True,,39
10.1007/978-3-030-53291-8_27,True,,14
10.1007/978-3-030-53291-8_29,True,,16
10.1007/978-3-030-53291-8_3,True,,32
10.1007/978-3-030-53291-8_30,True,,19
10.1007/978-3-030-53291-8_31,True,,24
10.1007/978-3-030-53291-8_32,True,,7
10.1007/978-3-030-53291-8_33,True,,11
10.1007/978-3-030-53291-8_5,True,,8
10.1007/978-3-030-53291-8_6,True,,2
10.1007/978-3-030-53291-8_8,True,,4
10.1007/978-3-030-53291-8_9,True,,20
10.1007/978-3-030-81685-8_10,True,,25
10.1007/978-3-030-81685-8_11,True,,45
10.1007/978-3-030-81685-8_12,True,,22
10.1007/978-3-030-81685-8_13,True,,15
10.1007/978-3-030-81685-8_16,True,,17
10.1007/978-3-030-81685-8_18,True,,1
10.1007/978-3-030-81685-8_19,True,,12
10.1007/978-3-030-81685-8_2,True,,4
10.1007/978-3-030-81685-8_20,True,,32
10.1007/978-3-030-81685-8_21,True,,9
10.1007/978-3-030-81685-8_22,True,,6
10.1007/978-3-030-81685-8_24,True,,9
10.1007/978-3-030-81685-8_25,True,,3
10.1007/978-3-030-81685-8_26,True,,23
10.1007/978-3-030-81685-8_27,True,,1
10.1007/978-3-030-81685-8_29,True,,26
10.1007/978-3-030-81685-8_30,True,,5
10.1007/978-3-030-81685-8_31,True,,4
10.1007/978-3-030-81685-8_32,True,,8
10.1007/978-3-030-81685-8_33,True,,30
10.1007/978-3-030-81685-8_34,True,,6
10.1007/978-3-030-81685-8_36,True,,11
10.1007/978-3-030-81685-8_37,True,,5
10.1007/978-3-030-81685-8_38,True,,2
10.1007/978-3-030-81685-8_39,True,,12
10.1007/978-3-030-81685-8_40,True,,14
10.1007/978-3-030-81685-8_41,True,,4
10.1007/978-3-030-81685-8_5,True,,4
10.1007/978-3-030-81685-8_6,True,,26
10.1007/978-3-030-81685-8_7,True,,16
10.1007/978-3-030-81685-8_8,True,,22
10.1007/978-3-030-81685-8_9,True,,9
10.1007/978-3-030-81688-9_10,True,,4
10.1007/978-3-030-81688-9_11,True,,8
10.1007/978-3-030-81688-9_12,True,,1
10.1007/978-3-030-81688-9_13,True,,4
10.1007/978-3-030-81688-9_14,True,,23
10.1007/978-3-030-81688-9_16,True,,4
10.1007/978-3-030-81688-9_17,True,,9
10.1007/978-3-030-81688-9_18,True,,6
10.1007/978-3-030-81688-9_2,True,,1
10.1007/978-3-030-81688-9_20,True,,2
10.1007/978-3-030-81688-9_21,True,,10
10.1007/978-3-030-81688-9_22,True,,27
10.1007/978-3-030-81688-9_23,True,,11
10.1007/978-3-030-81688-9_24,True,,2
10.1007/978-3-030-81688-9_25,True,,17
10.1007/978-3-030-81688-9_26,True,,15
10.1007/978-3-030-81688-9_28,True,,13
10.1007/978-3-030-81688-9_32,True,,1
10.1007/978-3-030-81688-9_33,True,,15
10.1007/978-3-030-81688-9_34,True,,1
10.1007/978-3-030-81688-9_36,True,,4
10.1007/978-3-030-81688-9_38,True,,12
10.1007/978-3-030-81688-9_4,True,,4
10.1007/978-3-030-81688-9_40,True,,6
10.1007/978-3-030-81688-9_41,True,,0
10.1007/978-3-030-81688-9_42,True,,12
10.1007/978-3-030-81688-9_5,True,,6
10.1007/978-3-030-81688-9_6,True,,9
10.1007/978-3-030-81688-9_7,True,,6
10.1007/978-3-030-86205-3_3,True,,2
10.1007/978-3-031-13185-1_20,True,,6
10.1007/978-3-031-13188-2_13,True,,4
10.1007/978-3-031-13188-2_21,True,,6
10.1007/978-3-031-13188-2_22,True,,0
10.1007/978-3-031-13188-2_23,True,,2
10.1007/978-3-031-13188-2_24,True,,12
10.1007/978-3-031-13188-2_6,True,,6
10.1007/978-3-031-15707-3_12,True,,2
10.1007/978-3-031-15707-3_27,True,,0
10.1007/978-3-031-15707-3_29,True,,2
10.1007/978-3-031-15707-3_33,True,,8
10.1007/978-3-031-15707-3_38,True,,3
10.1007/978-3-031-21222-2_10,True,,5
10.1007/978-3-031-21222-2_3,True,,1
10.1007/978-3-031-21222-2_5,True,,2
10.1007/978-3-031-37703-7_1,True,,23
10.1007/978-3-031-37703-7_3,True,,2
10.1007/978-3-031-37703-7_6,True,,1
10.1007/978-3-031-37706-8_12,True,,6
10.1007/978-3-031-37706-8_4,True,,4
10.1007/978-3-031-37706-8_9,True,,1
10.1007/978-3-031-37709-9_10,True,,1
10.1007/978-3-031-37709-9_7,True,,12
10.1007/978-3-031-37709-9_9,True,,4
10.1007/978-3-031-65627-9_10,True,,3
10.1007/978-3-031-65627-9_11,True,,1
10.1007/978-3-031-65627-9_14,True,,0
10.1007/978-3-031-65627-9_23,True,,3
10.1007/978-3-031-65627-9_24,True,,0
10.1007/978-3-031-65627-9_6,True,,2
10.1007/978-3-031-65627-9_7,True,,14
10.1007/978-3-031-65630-9_1,True,,8
10.1007/978-3-031-65630-9_2,True,,3
10.1007/978-3-031-65630-9_6,True,,0
10.1007/978-3-031-65630-9_7,True,,0
10.1007/978-3-031-65630-9_8,True,,4
10.1007/978-3-031-65633-0_2,True,,4
10.1007/978-3-031-74209-5_1,True,,1
10.1007/978-3-031-74209-5_13,True,,2
10.1007/978-3-031-74209-5_2,True,,1
10.1007/978-3-031-74209-5_20,True,,0
10.1007/978-3-031-74209-5_21,True,,0
10.1007/978-3-031-74209-5_29,True,,0
10.1007/978-3-031-84924-4_7,True,,0
10.1007/978-3-031-98668-0_4,True,,0
10.1007/978-3-031-98668-0_7,True,,0
10.1007/978-3-031-98668-0_9,True,,0
10.1007/978-3-031-98679-6_1,True,,0
10.1007/978-3-031-98679-6_11,True,,0
10.1007/978-3-031-98679-6_13,True,,0
10.1007/978-3-031-98679-6_14,True,,0
10.1007/978-3-031-98682-6_1,True,,0
10.1007/978-3-031-98682-6_11,True,,2
10.1007/978-3-031-98682-6_18,True,,0
10.1007/978-3-031-98682-6_19,True,,1
10.1007/978-3-031-98682-6_5,True,,0
10.1007/978-3-031-98682-6_6,True,,0
10.1007/978-3-031-98685-7_14,True,,0
10.1007/978-3-031-98685-7_7,True,,0
10.1007/978-3-319-41528-4_10,True,,6
10.1007/978-3-319-41528-4_11,True,,16
10.1007/978-3-319-41528-4_12,True,,34
10.1007/978-3-319-41528-4_13,True,,25
10.1007/978-3-319-41528-4_14,True,,25
10.1007/978-3-319-41528-4_15,True,,22
10.1007/978-3-319-41528-4_16,True,,5
10.1007/978-3-319-41528-4_17,True,,8
10.1007/978-3-319-41528-4_18,True,,7
10.1007/978-3-319-41528-4_19,True,,66
10.1007/978-3-319-41528-4_20,True,,25
10.1007/978-3-319-41528-4_21,True,,21
10.1007/978-3-319-41528-4_22,True,,20
10.1007/978-3-319-41528-4_23,True,,5
10.1007/978-3-319-41528-4_24,True,,10
10.1007/978-3-319-41528-4_25,True,,31
10.1007/978-3-319-41528-4_26,True,,38
10.1007/978-3-319-41528-4_29,True,,59
10.1007/978-3-319-41528-4_4,True,,101
10.1007/978-3-319-41528-4_5,True,,9
10.1007/978-3-319-41528-4_6,True,,12
10.1007/978-3-319-41528-4_8,True,,4
10.1007/978-3-319-41528-4_9,True,,13
10.1007/978-3-319-41540-6_1,True,,26
10.1007/978-3-319-41540-6_10,True,,7
10.1007/978-3-319-41540-6_11,True,,28
10.1007/978-3-319-41540-6_12,True,,6
10.1007/978-3-319-41540-6_16,True,,8
10.1007/978-3-319-41540-6_18,True,,68
10.1007/978-3-319-41540-6_19,True,,20
10.1007/978-3-319-41540-6_2,True,,12
10.1007/978-3-319-41540-6_20,True,,9
10.1007/978-3-319-41540-6_21,True,,61
10.1007/978-3-319-41540-6_23,True,,96
10.1007/978-3-319-41540-6_24,True,,20
10.1007/978-3-319-41540-6_25,True,,81
10.1007/978-3-319-41540-6_26,True,,22
10.1007/978-3-319-41540-6_27,True,,37
10.1007/978-3-319-41540-6_28,True,,17
10.1007/978-3-319-41540-6_4,True,,54
10.1007/978-3-319-41540-6_5,True,,18
10.1007/978-3-319-41540-6_6,True,,12
10.1007/978-3-319-41540-6_7,True,,19
10.1007/978-3-319-41540-6_9,True,,5
10.1007/978-3-319-54292-8_1,True,,2
10.1007/978-3-319-54292-8_2,True,,2
10.1007/978-3-319-54292-8_3,True,,1
10.1007/978-3-319-54292-8_4,True,,0
10.1007/978-3-319-54292-8_5,True,,0
10.1007/978-3-319-54292-8_6,True,,41
10.1007/978-3-319-54292-8_8,True,,0
10.1007/978-3-319-54292-8_9,True,,0
10.1007/978-3-319-55014-5_1,True,,1
10.1007/978-3-319-55014-5_2,True,,0
10.1007/978-3-319-55014-5_3,True,,2
10.1007/978-3-319-55014-5_4,True,,7
10.1007/978-3-319-55014-5_5,True,,0
10.1007/978-3-319-55014-5_6,True,,3
10.1007/978-3-319-55014-5_7,True,,2
10.1007/978-3-319-61660-5_10,True,,2
10.1007/978-3-319-61660-5_11,True,,1
10.1007/978-3-319-61660-5_13,True,,15
10.1007/978-3-319-61660-5_15,True,,0
10.1007/978-3-319-61660-5_16,True,,0
10.1007/978-3-319-61660-5_17,True,,19
10.1007/978-3-319-61660-5_18,True,,0
10.1007/978-3-319-61660-5_19,True,,55
10.1007/978-3-319-61660-5_22,True,,5
10.1007/978-3-319-61660-5_23,True,,5
10.1007/978-3-319-61660-5_24,True,,2
10.1007/978-3-319-61660-5_25,True,,2
10.1007/978-3-319-61660-5_26,True,,8
10.1007/978-3-319-61660-5_27,True,,26
10.1007/978-3-319-61660-5_29,True,,2
10.1007/978-3-319-61660-5_3,True,,0
10.1007/978-3-319-61660-5_30,True,,1
