lookup_id,source_title,found,abstract,match_score,openalex_id,openalex_title,year,cited_by_count,referenced_works_count,fwci,is_retracted,doi
TITLE:train:0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",False,"Abstract Approximation fixpoint theory (AFT) is an algebraic framework designed to study the semantics of non-monotonic logics. Despite its success, AFT is not readily applicable to higher-order definitions. To solve such an issue, we devise a formal mathematical framework employing concepts drawn from category theory. In particular, we make use of the notion of Cartesian closed category to inductively construct higher-order approximation spaces while preserving the structures necessary for the correct application of AFT. We show that this novel theoretical approach extends standard AFT to a higher-order environment and generalizes the AFT setting of Charalambidis et al. (2018).",0.1904761904761904,https://openalex.org/W4416904744,A Category-Theoretic Perspective on Higher-Order Approximation Fixpoint Theory,2025.0,0.0,25.0,0.0,False,https://doi.org/10.1017/s1471068425100367
TITLE:train:1,Conditionals and Temporal Conditionals for Gradual Argumentation.,False,"Talk of linguistic universals has given cognitive scientists the impression that languages are all built to a common pattern. In fact, there are vanishingly few universals of language in the direct sense that all languages exhibit them. Instead, diversity can be found at almost every level of linguistic organization. This fundamentally changes the object of enquiry from a cognitive science perspective. This target article summarizes decades of cross-linguistic work by typologists and descriptive linguists, showing just how few and unprofound the universal characteristics of language are, once we honestly confront the diversity offered to us by the world's 6,000 to 8,000 languages. After surveying the various uses of ""universal,"" we illustrate the ways languages vary radically in sound, meaning, and syntactic organization, and then we examine in more detail the core grammatical machinery of recursion, constituency, and grammatical relations. Although there are significant recurrent patterns in organization, these are better explained as stable engineering solutions satisfying multiple design constraints, reflecting both cultural-historical factors and the constraints of human cognition. Linguistic diversity then becomes the crucial datum for cognitive science: we are the only species with a communication system that is fundamentally variable at all levels. Recognizing the true extent of structural diversity in human language opens up exciting new research directions for cognitive scientists, offering thousands of different natural experiments given by different languages, with new opportunities for dialogue with biological paradigms concerned with change and diversity, and confronting us with the extraordinary plasticity of the highest human skills.",0.3461538461538461,https://openalex.org/W2000196122,The myth of language universals: Language diversity and its importance for cognitive science,2009.0,2619.0,460.0,1231.2621,False,https://doi.org/10.1017/s0140525x0999094x
TITLE:train:2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,False,"Henry Jenkins, Director of the Comparative Media Studies Program at the Massachusetts Institute of Technology authored this white paper, exploring new frameworks and models for media literacy.",0.3571428571428571,https://openalex.org/W2112957339,Confronting the Challenges of Participatory Culture: Media Education for the 21st Century,2006.0,3191.0,11.0,200.6913,False,
TITLE:train:3,Agentified Argumentative Learning (short paper).,False,,0.0,,,,,,,False,
TITLE:train:4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,False,,0.3823529411764705,https://openalex.org/W2981731882,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",2019.0,8663.0,668.0,341.5098,False,https://doi.org/10.1016/j.inffus.2019.12.012
TITLE:train:5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,True,"The rapid growth of Deep Neural Networks (DNNs) has brought substantial advances in artificial intelligence across domains such as vision, language, and recommendation systems. However, this progress comes at a steep energy cost, with model training and deployment contributing significantly to global computational energy consumption. Understanding what drives this energy demand requires more than empirical correlation- it demands causal explanations. In this work, we investigate the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs. Recognising the limitations of such methods-particularly in terms of assumptions and finite data-we introduce a novel approach to evaluate each inferred link through formal argumentation. We treat each proposed causal relationship as a dialectical object, generating arguments and counterarguments that articulate its plausibility, underlying mechanisms, and possible confounders. We operationalise this reasoning using large language models in a zero-shot prompting setup, surfacing the evidential and conceptual assumptions behind each causal claim. This hybrid approach, combining causal discovery with structured argumentative evaluation, promotes interpretability and critical scrutiny in data-driven causal modelling. Preliminary results demonstrate its potential for rendering causal claims more transparent and contestable.",1.0,https://openalex.org/W7112487812,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs,2025.0,0.0,0.0,0.0,False,
TITLE:train:6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,False,,0.0,,,,,,,False,
TITLE:train:7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,False,,0.3166666666666666,https://openalex.org/W2020519533,The Human Connectome Project: A data acquisition perspective,2012.0,2793.0,70.0,36.6228,False,https://doi.org/10.1016/j.neuroimage.2012.02.018
TITLE:train:8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,False,"An international association advancing the multidisciplinary study of informing systems. Founded in 1998, the Informing Science Institute (ISI) is a global community of academics shaping the future of informing science.",0.3538461538461538,https://openalex.org/W1549176255,Using Video to Record Summary Lectures to Aid Students' Revision,2007.0,89.0,27.0,3.5411,False,https://doi.org/10.28945/393
TITLE:train:9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,False,"We study the overall process of automatic formalization of GDPR provisions using large language models, within a human-in-the-loop verification framework. Rather than aiming for full autonomy, we adopt a role-specialized workflow in which LLM-based AI components, operating in a multi-agent setting with iterative feedback, generate legal scenarios, formal rules, and atomic facts. This is coupled with independent verification modules which include human reviewers' assessment of representational, logical, and legal correctness. Using this approach, we construct a high-quality dataset to be used for GDPR auto-formalization, and analyze both successful and problematic cases. Our results show that structured verification and targeted human oversight are essential for reliable legal formalization, especially in the presence of legal nuance and context-sensitive reasoning.",0.2981366459627329,https://openalex.org/W7154865593,GDPR Auto-Formalization with AI Agents and Human Verification,2026.0,0.0,0.0,0.0,False,
