source_split,id,source_title,found,abstract,match_score,arxiv_id,arxiv_title,arxiv_year,error
train,3,Agentified Argumentative Learning (short paper).,False,,0.0,,,,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=30)""))"
train,11,neXSim: A System for Explaining Nexus of Similarities.,False,,0.0,,,,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=30)""))"
train,29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,False,,0.0,,,,HTTP 429
train,36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,False,,0.0,,,,HTTP 429
train,45,Global Type Inference for Java using Answer Set Programming.,False,,0.0,,,,HTTP 429
train,87,"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025.",False,,0.0,,,,HTTP 429
train,88,"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025.",False,,0.0,,,,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=30)""))"
train,95,Statistical Syllogistic Tableaux.,False,,0.0,,,,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=30)""))"
train,103,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents.,False,,0.0,,,,HTTP 429
train,107,Controlled Natural Language Models.,False,,0.0,,,,HTTP 429
train,211,Constrained Default Logic Programming.,False,,0.0,,,,HTTP 429
train,223,Automating Defeasible Reasoning in Law with Answer Set Programming.,False,,0.0,,,,HTTP 429
train,250,"Proceedings 38th International Conference on Logic Programming, ICLP 2022 Technical Communications / Doctoral Consortium, Haifa, Israel, 31st July 2022 - 6th August 2022.",False,,0.0,,,,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=30)""))"
train,251,Reasoning About Actions with EL(bot) Ontologies and Temporal Answer Sets.,False,,0.0,,,,HTTP 429
