source_split,id,title,score,p1,p2,p3,p4,p5,source,text_out,error
train,0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,1,Conditionals and Temporal Conditionals for Gradual Argumentation.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,3,Agentified Argumentative Learning (short paper).,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,10,ASP Chef Creates Surveys.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,11,neXSim: A System for Explaining Nexus of Similarities.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,13,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,14,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,15,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,16,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.",2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,17,Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,18,A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,19,Representing and Evaluating SBVR Specification via ASP.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,20,On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,21,Resource Allocation with Cooperative Agents.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,22,Enhancing Compilation-based ASP Solving.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,23,Enhancing Compilation-based ASP Solving with Postponed Atom Discovery.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,24,Toward Executing Datalog on Big Data Platforms - Extended Abstract.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,25,PEG 2.0: Future-Gazing Through a Socio-Linguistic and Historical Lens.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,26,Learning ASP Domain-specific Heuristics using Transformers.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,27,Search-Guided Generation of Properties for Program Analyzers.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,28,Knowledge-Based Stable Roommates Problems.,2.0,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,2,
train,29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,30,Exploring Digital Twins integration with ASP and ASP Chef.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,31,Formal Verification of Answer Set Programs Containing Advanced Language Constructs.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,32,The Simple Generative Logic Grammar: A Tool for Teaching Logical Thinking Through Visual Research in Art and Design.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,33,Answer Set Counting and its Applications to Network Reliability and System Biology.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,34,Precise Exponential-Time Complexity of Non-Monotonic Reasoning.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,35,Towards Incorporating Normative Requirements In Autonomous Systems Using Datalog.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,37,Decompiling Language Models into Logic Programs.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,38,Logic and Answer Set Programming in High School: Two Learning Unit Experiences.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,39,Exploring Neurosymbolic Systems in Answer Set Programming with an Application to Waste Water Monitoring.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,40,Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,2.0,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,2,
train,41,When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications - Abstract.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,42,Teaching Prolog and Logic Programming with Jupyter Notebooks.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,43,A Legal Logic Programming Framework for Autonomous Vehicles.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,44,UserArmor: An extension for AppArmor.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,45,Global Type Inference for Java using Answer Set Programming.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,46,Platform for Introducing Logic Programming in Bulgarian Secondary Schools - IDEAS (Intelligent Data Educational Analysis System).,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,47,Research Summary: Explainable Artificial Intelligence in Answer Set Programming and Machine Learning.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,48,ASP and PDDL+ Applications in Urban Traffic Distribution and Control.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,49,Early Validation of High-level Requirements on Cyber-Physical Systems.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,50,Probabilistic Declarative Process Mining.,2.0,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,2,
train,51,A Scalable Approach to Probabilistic Compliance in Declarative Process Mining.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,52,A Neurosymbolic Approach to Fraud Detection on Financial Data in the Public Administration.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,53,Scalable and Ethical Medical Scheduling: An ASP-Based Framework with Patient-Centered Experimental Validation.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,54,On Computing Universal Plans for Partially Observable Multi-Agent Path Finding.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,55,færdXel: An Expert System for Danish Traffic Law.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,56,VERUS-LM: a Versatile Framework for Combining LLMs with Symbolic Reasoning.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,57,The Combined Problem of Online Task Assignment and Lifelong Path Finding in Logistics Warehouses: A Case Study.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
