name,w_e5,w_graph,oof_qwk,oof_round_qwk,test_l1,oof_mae,thresholds,pub_dist,pri_dist
e5_graph_w0p00,1.0,0.0,0.6592849557593436,0.647483270016774,0.1421963046882989,0.7662389735364876,"1.876577,2.491860,3.263623,4.140085","{1: 123, 2: 59, 3: 59, 4: 36, 5: 21}","{1: 132, 2: 67, 3: 45, 4: 32, 5: 22}"
e5_graph_w0p05,0.95,0.05,0.6590996028729011,0.6460376551180944,0.14555200938628549,0.768644747393745,"1.899392,2.496759,3.220180,4.070272","{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 45, 4: 31, 5: 23}"
e5_graph_w0p03,0.97,0.03,0.659804141014243,0.6468019233421679,0.1522634187822586,0.7646351242983159,"1.891019,2.497790,3.254116,4.102123","{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 66, 3: 44, 4: 31, 5: 22}"
e5_graph_w0p20,0.8,0.2,0.6605884530067322,0.6192561908085944,0.15226341878225863,0.7654370489174017,"1.957216,2.498780,3.134171,3.896484","{1: 122, 2: 61, 3: 55, 4: 39, 5: 21}","{1: 139, 2: 62, 3: 43, 4: 32, 5: 22}"
e5_graph_w0p15,0.85,0.15,0.6601822513019583,0.6302401533492921,0.15505669983800044,0.7682437850842021,"1.940669,2.498065,3.152459,3.936159","{1: 123, 2: 60, 3: 55, 4: 38, 5: 22}","{1: 139, 2: 62, 3: 45, 4: 30, 5: 22}"
e5_graph_w0p10,0.9,0.1,0.660760445021066,0.6387903997623783,0.16176810923397364,0.7666399358460305,"1.938472,2.499473,3.182621,4.001625","{1: 126, 2: 58, 3: 54, 4: 39, 5: 21}","{1: 138, 2: 63, 3: 44, 4: 31, 5: 22}"
e5_graph_w0p12,0.88,0.12,0.6606671498615078,0.6354979969461578,0.1690419422721915,0.7666399358460305,"1.935773,2.527552,3.205516,3.960685","{1: 125, 2: 62, 3: 55, 4: 34, 5: 22}","{1: 138, 2: 64, 3: 45, 4: 29, 5: 22}"
e5_graph_w0p18,0.8200000000000001,0.18,0.6585954392273727,0.623359185090867,0.17239764697017812,0.7682437850842021,"1.962953,2.547759,3.223276,3.946600","{1: 124, 2: 64, 3: 55, 4: 36, 5: 19}","{1: 140, 2: 62, 3: 48, 4: 27, 5: 21}"
e5_graph_w0p25,0.75,0.25,0.6538298931751005,0.6007632417406445,0.18246476106413784,0.7738572574178028,"1.975737,2.537769,3.152079,3.831727","{1: 123, 2: 65, 3: 50, 4: 39, 5: 21}","{1: 141, 2: 64, 3: 43, 4: 28, 5: 22}"
e5_graph_w0p08,0.92,0.08,0.6615843181513997,0.6398323704910724,0.18917617046011098,0.7634322373696872,"1.930213,2.549750,3.259240,4.062287","{1: 126, 2: 64, 3: 53, 4: 34, 5: 21}","{1: 138, 2: 67, 3: 44, 4: 28, 5: 21}"
