name,kind,c,weight,threshold_lambda,oof_qwk,oof_lift_vs_step25,test_l1,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,thresholds
step25_rubric_lr_c2p0_blend_w0p0100_l2p0,label_blend,2.0,0.01,2.0,0.66129856375338,3.8005374147109805e-05,0.14555200938628549,"{1: 123, 2: 60, 3: 56, 4: 37, 5: 22}","{1: 136, 2: 63, 3: 43, 4: 34, 5: 22}",31,12,19,-0.22580645161290322,4,3,4,4,"1.907891,2.497480,3.216410,4.067537"
step25_rubric_lr_c2p0_blend_w0p0100_l0p5,label_blend,2.0,0.01,0.5,0.6609639072160065,-0.0002966511632264135,0.18917617046011098,"{1: 126, 2: 64, 3: 53, 4: 37, 5: 18}","{1: 140, 2: 65, 3: 43, 4: 30, 5: 20}",107,55,52,0.028037383177570093,0,30,16,20,"1.924135,2.559555,3.283581,4.169256"
step25_rubric_lr_c0p5_blend_w0p0100_l2p0,label_blend,0.5,0.01,2.0,0.6605278122791449,-0.0007327461000879998,0.14555200938628549,"{1: 122, 2: 61, 3: 54, 4: 39, 5: 22}","{1: 134, 2: 65, 3: 43, 4: 34, 5: 22}",37,13,24,-0.2972972972972973,5,3,5,2,"1.903368,2.499695,3.207740,4.059001"
step25_rubric_lr_c2p0_blend_w0p0050_l1p0,label_blend,2.0,0.005,1.0,0.6601211199346804,-0.001139438444552554,0.18917617046011098,"{1: 126, 2: 64, 3: 53, 4: 33, 5: 22}","{1: 139, 2: 66, 3: 42, 4: 29, 5: 22}",80,38,42,-0.05,0,15,12,16,"1.920409,2.555092,3.271817,4.110968"
step25_rubric_lr_c2p0_blend_w0p0300_l0p5,label_blend,2.0,0.03,0.5,0.6600908655441935,-0.0011696928350394264,0.16904194227219152,"{1: 125, 2: 61, 3: 57, 4: 34, 5: 21}","{1: 139, 2: 64, 3: 45, 4: 28, 5: 22}",77,34,43,-0.11688311688311688,2,14,10,15,"1.929796,2.531455,3.260497,4.056465"
step25_rubric_lr_c2p0_blend_w0p0200_l1p0,label_blend,2.0,0.02,1.0,0.6599517075548242,-0.0013088508244086805,0.1824647610641378,"{1: 125, 2: 63, 3: 53, 4: 35, 5: 22}","{1: 140, 2: 65, 3: 39, 4: 32, 5: 22}",71,32,39,-0.09859154929577464,1,13,9,14,"1.923598,2.549035,3.237472,4.070756"
step25_rubric_lr_c0p25_blend_w0p0100_l0p5,label_blend,0.25,0.01,0.5,0.6598306476099509,-0.0014299107692820057,0.19253187515809755,"{1: 126, 2: 64, 3: 53, 4: 34, 5: 21}","{1: 141, 2: 65, 3: 41, 4: 30, 5: 21}",101,48,53,-0.04950495049504951,0,25,13,20,"1.928159,2.562417,3.274450,4.123754"
step25_rubric_lr_c0p5_blend_w0p0300_l0p5,label_blend,0.5,0.03,0.5,0.6597853480892917,-0.0014752102899412423,0.16176810923397367,"{1: 125, 2: 61, 3: 53, 4: 38, 5: 21}","{1: 139, 2: 59, 3: 45, 4: 33, 5: 22}",69,28,41,-0.18840579710144928,5,9,10,11,"1.931685,2.497130,3.219467,4.047106"
step25_rubric_lr_c1p0_blend_w0p0300_l1p0,label_blend,1.0,0.03,1.0,0.6596835784319656,-0.001576979947267354,0.17239764697017812,"{1: 125, 2: 62, 3: 52, 4: 38, 5: 21}","{1: 139, 2: 64, 3: 40, 4: 33, 5: 22}",81,34,47,-0.16049382716049382,4,12,11,12,"1.932585,2.533708,3.218750,4.049434"
step25_rubric_lr_c0p5_blend_w0p0100_l0p5,label_blend,0.5,0.01,0.5,0.6596666628505541,-0.0015938955286788348,0.1858204657621244,"{1: 125, 2: 64, 3: 52, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 38, 4: 33, 5: 22}",64,27,37,-0.15625,2,11,8,12,"1.919419,2.545264,3.239054,4.068241"
