first_author_token,test_count,public_count,private_count,predicted_labels,prediction_mean,train_count,unique_train_labels,train_label_min,train_label_max,train_label_mean,train_labels,seen_in_train,single_train_label_repeated_test,single_train_label5_repeated_test,pure_author_repeated_test,all_predictions_match_only_train_label
first_author_ahmetaj,2,0,2,"1,3",2.0,1,1,1.0,1.0,1.0,1,True,True,False,False,False
first_author_badings,2,1,1,"1,3",2.0,1,1,3.0,3.0,3.0,3,True,True,False,False,False
first_author_bene,2,1,1,"1,3",2.0,1,1,3.0,3.0,3.0,3,True,True,False,False,False
first_author_daviaud,2,2,0,"1,2",1.5,1,1,1.0,1.0,1.0,1,True,True,False,False,False
first_author_esparza,2,1,1,"1,3",2.0,1,1,2.0,2.0,2.0,2,True,True,False,False,False
first_author_fedyukovich,2,0,2,2,2.0,1,1,2.0,2.0,2.0,2,True,True,False,False,True
first_author_hofman,2,1,1,"1,2",1.5,1,1,2.0,2.0,2.0,2,True,True,False,False,False
first_author_jiang,2,0,2,"1,5",3.0,1,1,2.0,2.0,2.0,2,True,True,False,False,False
first_author_lhote,2,1,1,"1,3",2.0,1,1,1.0,1.0,1.0,1,True,True,False,False,False
missing_author,48,24,24,"1,2,3,4,5",2.1458333333333335,215,5,1.0,5.0,2.2883720930232556,"1,2,3,4,5",True,False,False,False,False
first_author_wang,6,1,5,"1,2,3,4,5",2.8333333333333335,16,5,1.0,5.0,2.5,"1,2,3,4,5",True,False,False,False,False
first_author_tran,4,3,1,5,5.0,4,3,2.0,5.0,4.0,"2,4,5",True,False,False,False,False
first_author_zhang,4,3,1,"1,4,5",3.75,9,4,1.0,5.0,3.2222222222222223,"1,3,4,5",True,False,False,False,False
first_author_barto,3,2,1,"1,2,3",2.0,3,3,1.0,3.0,2.0,"1,2,3",True,False,False,False,False
first_author_bodirsky,3,2,1,"1,3",1.6666666666666667,4,3,1.0,4.0,2.75,"1,3,4",True,False,False,False,False
first_author_bouajjani,3,2,1,"1,2,3",2.0,3,2,1.0,3.0,1.6666666666666667,"1,3",True,False,False,False,False
first_author_chen,3,1,2,"1,2",1.3333333333333333,12,5,1.0,5.0,2.5,"1,2,3,4,5",True,False,False,False,False
first_author_czyk,3,1,2,"2,3",2.3333333333333335,7,4,1.0,4.0,2.142857142857143,"1,2,3,4",True,False,False,False,False
