id,Label,oof_score,oof_pred
0,1,1.0270554940760257,1
1,1,1.8456970866655973,1
2,2,3.1959575248338394,3
3,1,3.510165387459912,4
4,1,2.07307989515217,2
5,2,2.663841917261159,3
6,3,3.0195246839877314,3
7,3,3.2585106954493672,4
8,4,4.24017134549487,5
9,1,2.299137153044304,2
10,3,4.072638045748089,4
11,4,3.278270227191654,4
12,4,2.7152309548360076,3
13,2,2.608250574852169,3
14,5,4.848014875783091,5
15,2,3.5857953643758598,4
16,4,3.9457398389694953,4
17,5,3.042509931144296,3
18,5,4.435443291645915,5
19,4,3.3788069284634954,4
20,4,4.554987598198738,5
21,2,2.8173466508916607,3
22,5,4.5096847768750274,5
23,5,3.505376720455851,4
24,3,2.9351771238585713,3
25,2,2.227626840608256,2
26,5,4.0731859942192115,4
27,4,2.522592525461717,3
28,4,2.6065091901631416,3
29,4,2.626155844228572,3
30,4,3.7368269224443074,4
31,5,4.360584637113057,5
32,5,3.2824814308833825,4
33,4,4.260041665068796,5
34,3,1.4126667260324761,1
35,3,2.499240255357604,2
36,3,2.262904846208955,2
37,4,4.150995933997544,5
38,5,4.7586920968284785,5
39,5,4.044353687561441,4
40,3,3.2363297197475545,3
41,5,3.7583916574913148,4
42,5,2.7657508993449995,3
43,5,3.611025482113294,4
44,1,1.3346563363615647,1
45,4,3.918326273713739,4
46,1,3.013265628527253,3
47,5,4.917740581826206,5
48,4,4.094556076395354,5
49,1,1.0934493059856267,1
50,4,3.7024594566164284,4
51,3,3.574492676352117,4
52,5,3.331151816911001,4
53,4,3.2680002318822465,4
54,1,2.0874674104600555,2
55,1,3.148483233639579,3
56,2,3.224963218734388,3
57,1,3.0205403443972254,3
58,1,1.6204517109819416,1
59,2,2.1597257427288556,2
60,4,4.87497407671588,5
61,3,4.282207916546047,5
62,2,3.985023257970504,4
63,5,4.6405498718757965,5
64,4,4.112044823965125,5
65,5,3.9700143921647317,4
66,3,4.185508097575041,5
67,1,1.4827170816836397,1
68,4,4.0670984932480145,4
69,5,3.790915210828484,4
70,3,3.648234494096607,4
71,3,3.605463218108809,4
72,5,3.886456842163917,4
73,2,1.724655115048238,1
74,4,2.1374115647303418,2
75,5,4.6265001111193245,5
76,5,4.964064325894173,5
77,5,4.9350559408095425,5
78,2,3.0448301468850665,3
79,3,3.937703817335829,4
80,1,2.4588808303951155,2
81,2,3.294290007040702,4
82,3,3.9317183784384033,4
83,2,2.7525149723180924,3
84,3,2.743846514279891,3
85,1,2.122028163304725,2
86,5,4.35287570310304,5
87,1,1.0396100284627725,1
88,1,1.0174850387281913,1
89,1,1.0392880731792975,1
90,2,4.254707469446392,5
91,4,4.645901152368816,5
92,4,3.4111101881520556,4
93,3,3.1317929823285655,3
94,4,4.9007653416170225,5
95,2,2.9368461319719597,3
96,4,3.908942363249708,4
97,4,3.8452815674850567,4
98,4,4.411069100416818,5
99,5,3.585181201698474,4
100,3,2.5269982417306025,3
101,4,2.2376703577040318,2
102,3,2.937713763019135,3
103,1,2.2292670046328547,2
104,2,3.9270836863345018,4
105,1,2.409227795447964,2
106,3,4.421909786313038,5
107,4,4.038101936376571,4
108,1,3.399666233567451,4
109,1,4.231252746873254,5
110,3,4.777987196164686,5
111,5,3.9119037394696625,4
112,4,3.14718518106401,3
113,2,3.6593275904417815,4
114,4,4.327125003266836,5
115,3,2.825539804804759,3
116,1,2.342510595288703,2
117,2,2.6989278854287435,3
118,1,3.0786949898302387,3
119,3,2.855233625754076,3
120,1,3.338940843896757,4
121,3,3.4751230839098866,4
122,5,3.92214078749188,4
123,5,2.512488633392384,3
124,5,4.4506445782098645,5
125,3,4.04810159158551,4
126,4,3.7025564077308193,4
127,2,1.6603947181558458,1
128,3,3.8124704482565512,4
129,5,1.9656754853946332,2
130,4,3.834620226608459,4
131,3,2.9620411123011414,3
132,1,2.785619216980438,3
133,2,2.2202638099344187,2
134,5,3.646876626515468,4
135,5,2.640342756015857,3
136,1,2.83857429056175,3
137,1,1.1844404125461045,1
138,3,4.124693088608435,5
139,5,4.627595355326974,5
140,5,4.788078519499735,5
141,5,4.624092217370211,5
142,5,4.8381136265453355,5
143,3,2.373277031321889,2
144,1,2.716260292488259,3
145,4,2.3514753724573816,2
146,5,5.0176038703086725,5
147,1,1.2063392665137538,1
148,1,3.9246220558752705,4
149,1,1.0657085144321832,1
150,2,3.314213942331306,4
151,4,4.669153382953494,5
152,4,3.0890358269127898,3
153,1,2.5540244412160287,3
154,1,2.935701145086675,3
155,5,3.852467279906668,4
156,4,4.812396076751295,5
157,1,2.9060052256298574,3
158,1,4.2011062848180565,5
159,2,3.3834350132313187,4
160,2,1.9153028134426486,2
161,3,4.036147063533859,4
162,4,1.3436246134004675,1
163,5,4.61533003188123,5
164,1,1.079515527548702,1
165,2,2.9112328566202645,3
166,1,1.3213596083204069,1
167,1,2.732852295332393,3
168,3,1.924950759507937,2
