id,title,venue,step39_pred,step41_pred
2666,Zero-one laws for provability logic: Axiomatizing validity in almost all models and almost all frames.,lics,3,2
2573,Linear-Algebraic Models of Linear Logic as Categories of Modules over Σ-Semirings✱.,lics,3,2
952,On Finite Entailment of Non-Local Queries in Description Logics.,kr,4,3
1053,An Incremental Approach to Structured Argumentation over Dynamic Knowledge Bases.,kr,4,3
997,DatalogMTL over the Integer Timeline.,kr,2,1
877,Learning First-Order Representations for Planning from Black Box States: New Results.,kr,3,2
2265,Rahft: A Tool for Verifying Horn Clauses Using Abstract Interpretation and Finite Tree Automata.,cav,1,2
1132,Extension Enforcement under Grounded Semantics in Abstract Argumentation.,kr,1,2
1282,Reasoning and Explanation Generation in Ad Hoc Collaboration Between Humans and Embodied AI.,lpnmr,3,4
2022,Incremental Determinization for Quantifier Elimination and Functional Synthesis.,cav,2,1
1649,Solving String Constraints Using SAT.,cav,4,3
