candidate,split,id,transition,score,title,venue,year,authors,first_author,first_author_surname,venue_count,venue_mean,surname_count,surname_mean,nearest_train_labels,nearest_train_titles,dist_to_3_4_threshold_mid,dist_to_4_5_threshold_mid
label4_51_0.62820,public_test,1486,3->4,2.8037373586492884,Engineering an Efficient Probabilistic Exact Model Counter.,cav,2025,"Mate Soos, Kuldeep S. Meel",Mate Soos,soos,657,2.1202435312024352,2.0,2.0,"L3@0.53, L1@0.36, L4@0.33","L3 kr 2021: Gaussian Elimination Meets Maximum Satisfiability. | L1 cav 2020: Tinted, Detached, and Lazy CNF-XOR Solving and Its Applications to Counting and Sampling. | L4 kr 2023: Scalable Probabilistic Routes.",-0.006418,-0.388486
label4_51_0.62820,private_test,1255,3->4,2.806180636723069,Cognitive Affordance Representations in Uncertain Logic.,kr,2016,John Dinsmore,John Dinsmore,dinsmore,661,2.729198184568835,,,"L4@0.33, L2@0.24, L2@0.22",L4 lics 2021: Higher Lenses. | L2 iclp 2020: Proportional dependencies and asymptotics of probabilistic representations. | L2 kr 2024: A Report on Sequential KR-Approaches as Cognitive Logic.,-0.003975,-0.386042
label4_51_0.62820,private_test,2844,3->4,2.805065456645829,Probabilistic Stable Functions on Discrete Cones are Power Series.,lics,2018,Raphaëlle Crubillé,Raphaëlle Crubillé,crubillé,604,1.9370860927152318,,,"L1@0.19, L4@0.18, L2@0.16",L1 kr 2019: Analyzing power consumption of TLS ciphers on an ESP32. | L4 iclp 2025: Knowledge-Based Stable Roommates Problems. | L2 lics 2023: The Power of Positivity.,-0.00509,-0.387157
label4_51_0.62820,private_test,1133,3->4,2.802500386232329,Query Answering for Rough EL Ontologies.,kr,2018,Patrick Koopmann,Patrick Koopmann,koopmann,661,2.729198184568835,1.0,4.0,"L5@0.31, L2@0.26, L1@0.25",L5 kr 2024: Explaining Reasoning Results for OWL Ontologies with Evee. | L2 kr 2016: On Referring Expressions in Query Answering over First Order Knowledge Bases. | L1 kr 2024: Consistent Query Answering over SHACL Constraints.,-0.007655,-0.389722
label4_51_0.62820,private_test,903,5->4,3.193492514636281,An Evolutionary Algorithm for Rule Learning over Knowledge Graphs.,kr,2020,"Hong Liu, Zhe Wang, Kewen Wang, Xiaowang Zhang, Zhiyong Feng",Hong Liu,liu,661,2.729198184568835,12.0,2.9166666666666665,"L4@0.63, L4@0.27, L5@0.26",L4 kr 2022: Learning Typed Rules over Knowledge Graphs. | L4 iclp 2021: Establish Coherence in Logic Programs Modelling Expert Knowledge via Argumentation. | L5 iclp 2021: Explainability Through Argumentation in Logic Programming.,0.383337,0.00127
label4_55_0.62820,public_test,1486,3->4,2.8037373586492884,Engineering an Efficient Probabilistic Exact Model Counter.,cav,2025,"Mate Soos, Kuldeep S. Meel",Mate Soos,soos,657,2.1202435312024352,2.0,2.0,"L3@0.53, L1@0.36, L4@0.33","L3 kr 2021: Gaussian Elimination Meets Maximum Satisfiability. | L1 cav 2020: Tinted, Detached, and Lazy CNF-XOR Solving and Its Applications to Counting and Sampling. | L4 kr 2023: Scalable Probabilistic Routes.",-0.006418,-0.388486
label4_55_0.62820,private_test,2156,3->4,2.796964031696817,Learning a Static Analyzer from Data.,cav,2017,,,,657,2.1202435312024352,213.0,2.2863849765258215,"L2@0.21, L4@0.18, L1@0.18",L2 cav 2018: Nagini: A Static Verifier for Python. | L4 kr 2020: Cluster Discovery from Sensor Data Incorporating Expert Knowledge. | L1 cav 2018: Foundations and Tools for the Static Analysis of Ethereum Smart Contracts.,-0.013192,-0.395259
label4_55_0.62820,private_test,1545,3->4,2.799672298122096,Dynamic Programming for Symbolic Boolean Realizability and Synthesis.,cav,2024,"Yi Lin, Lucas Martinelli Tabajara, Moshe Y. Vardi",Yi Lin,lin,657,2.1202435312024352,2.0,3.0,"L2@0.32, L1@0.22, L3@0.20",L2 kr 2022: Verification and Realizability in Finite-Horizon Multiagent Systems. | L1 lics 2018: Sequential Relational Decomposition. | L3 kr 2024: Probabilistic Synthesis and Verification for LTL on Finite Traces.,-0.010483,-0.392551
label4_55_0.62820,private_test,1255,3->4,2.806180636723069,Cognitive Affordance Representations in Uncertain Logic.,kr,2016,John Dinsmore,John Dinsmore,dinsmore,661,2.729198184568835,,,"L4@0.33, L2@0.24, L2@0.22",L4 lics 2021: Higher Lenses. | L2 iclp 2020: Proportional dependencies and asymptotics of probabilistic representations. | L2 kr 2024: A Report on Sequential KR-Approaches as Cognitive Logic.,-0.003975,-0.386042
label4_55_0.62820,private_test,1955,3->4,2.7906329509302337,Sequence Prediction-based Proactive Caching in Vehicular Content Networks.,cav,2020,"Qiao Wang, David Grace",Qiao Wang,wang,657,2.1202435312024352,16.0,2.5,"L1@0.23, L5@0.21, L3@0.19",L1 cav 2019: Latency Analysis of LTE Networks for Vehicular Communications Based on Experiments and Computer Simulation. | L5 cav 2020: Location Information Verification in Future Vehicular Networks. | L3 cav 2023: Decision Procedures for Sequence Theories.,-0.019523,-0.40159
label4_55_0.62820,private_test,2844,3->4,2.805065456645829,Probabilistic Stable Functions on Discrete Cones are Power Series.,lics,2018,Raphaëlle Crubillé,Raphaëlle Crubillé,crubillé,604,1.9370860927152318,,,"L1@0.19, L4@0.18, L2@0.16",L1 kr 2019: Analyzing power consumption of TLS ciphers on an ESP32. | L4 iclp 2025: Knowledge-Based Stable Roommates Problems. | L2 lics 2023: The Power of Positivity.,-0.00509,-0.387157
label4_55_0.62820,private_test,1133,3->4,2.802500386232329,Query Answering for Rough EL Ontologies.,kr,2018,Patrick Koopmann,Patrick Koopmann,koopmann,661,2.729198184568835,1.0,4.0,"L5@0.31, L2@0.26, L1@0.25",L5 kr 2024: Explaining Reasoning Results for OWL Ontologies with Evee. | L2 kr 2016: On Referring Expressions in Query Answering over First Order Knowledge Bases. | L1 kr 2024: Consistent Query Answering over SHACL Constraints.,-0.007655,-0.389722
