id,title,venue,step36_pred,step41_pred
1106,SOGrounder: Modelling and Solving Second-Order Logic.,kr,3,2
1989,Inferring Inductive Invariants from Phase Structures.,cav,1,2
1053,An Incremental Approach to Structured Argumentation over Dynamic Knowledge Bases.,kr,4,3
1370,Degrees of Laziness in Grounding - Effects of Lazy-Grounding Strategies on ASP Solving.,lpnmr,4,3
2789,The Logic of Action Lattices is Undecidable.,lics,3,2
1400,NoHR: Integrating XSB Prolog with the OWL 2 Profiles and Beyond.,lpnmr,3,2
929,Rational Defeasible Belief Change.,kr,3,2
1806,Interpolation and Model Checking for Nonlinear Arithmetic.,cav,3,4
2987,An effectful way to eliminate addiction to dependence.,lics,2,1
1120,Abductive Diagnosis of Complex Active Systems with Compiled Knowledge.,kr,3,2
