id,title,venue,step39_pred,step41_pred
1989,Inferring Inductive Invariants from Phase Structures.,cav,1,2
1053,An Incremental Approach to Structured Argumentation over Dynamic Knowledge Bases.,kr,4,3
2808,GF + MMT = GLF - From Language to Semantics through LF.,lics,1,2
1370,Degrees of Laziness in Grounding - Effects of Lazy-Grounding Strategies on ASP Solving.,lpnmr,4,3
2789,The Logic of Action Lattices is Undecidable.,lics,3,2
1006,Local vs. Global Interpretability of Machine Learning Models in Type 2 Diabetes Mellitus Screening.,kr,5,4
1400,NoHR: Integrating XSB Prolog with the OWL 2 Profiles and Beyond.,lpnmr,3,2
929,Rational Defeasible Belief Change.,kr,3,2
1806,Interpolation and Model Checking for Nonlinear Arithmetic.,cav,3,4
1120,Abductive Diagnosis of Complex Active Systems with Compiled Knowledge.,kr,3,2
