id,title,venue,step36_pred,step41_pred
2156,Learning a Static Analyzer from Data.,cav,4,3
1545,Dynamic Programming for Symbolic Boolean Realizability and Synthesis.,cav,3,4
981,µ-toksia: An Efficient Abstract Argumentation Reasoner.,kr,2,1
1895,Global Guidance for Local Generalization in Model Checking.,cav,2,3
2305,"Learning Weighted Automata over Number Rings, Concretely and Categorically.",lics,2,1
2103,Model Checking Quantitative Hyperproperties.,cav,2,1
2438,From Quantifier Depth to Quantifier Number: Separating Structures with k Variables.,lics,1,2
1733,Self-correcting Neural Networks for Safe Classification.,cav,5,4
1110,Updating Belief in Arguments in Epistemic Graphs.,kr,4,3
1937,CORR: Collaborative On-Road Reputation.,cav,3,2
1066,If Nothing Is Accepted - Repairing Argumentation Frameworks.,kr,3,2
