id,title,venue,step36_pred,step41_pred
2205,Program Verification Under Weak Memory Consistency Using Separation Logic.,cav,1,2
947,A Data Complexity and Rewritability Tetrachotomy of Ontology-Mediated Queries with a Covering Axiom.,kr,4,3
2410,"Braids, Twists, Trace and Duality in Combinatory Algebras.",lics,2,1
1464,StatWhy: Formal Verification Tool for Statistical Hypothesis Testing Programs.,cav,4,3
1013,Design and Analysis of Cryptographic Algorithms for Authentication.,kr,2,1
2676,A Higher Structure Identity Principle.,lics,2,1
2284,String Analysis via Automata Manipulation with Logic Circuit Representation.,cav,3,2
1066,If Nothing Is Accepted - Repairing Argumentation Frameworks.,kr,3,2
1804,AIGEN: Random Generation of Symbolic Transition Systems.,cav,3,2
2430,&quot;Upon This Quote I Will Build My Church Thesis&quot;.,lics,2,1
1723,Program Verification with Constrained Horn Clauses (Invited Paper).,cav,1,2
