name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,diff_vs_step36_public,diff_vs_step36_private,diff_vs_step36_total,oof_lift_vs_step36,thresholds,rank_score
step18b_bge_m3_ridge_a3p0_w0p02900_l6p0,ridge_a3p0,0.029,6.0,0.6635133808224969,0.0033370450771819105,0.0022528224432639687,0.14555200938628546,1,5,6,0,"{1: 122, 2: 61, 3: 58, 4: 35, 5: 22}","{1: 132, 2: 67, 3: 45, 4: 31, 5: 23}",63,41,22,0.30158730158730157,14,14,6,9,0,2,3,5,0.0014153953930741148,"1.888987,2.499996,3.248550,4.093257",0.0005153953930741147
step18b_bge_m3_ridge_a3p0_w0p02775_l6p0,ridge_a3p0,0.02775,6.0,0.6629410819594832,0.0027647462141682233,0.0016805235802502816,0.14890771408427203,4,3,7,0,"{1: 123, 2: 60, 3: 56, 4: 37, 5: 22}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",67,40,27,0.19402985074626866,12,15,7,5,0,1,1,2,0.0008430965300604276,"1.901159,2.499360,3.235553,4.093151",0.00025309653006042764
step18b_bge_m3_ridge_a3p0_w0p02775_l4p0,ridge_a3p0,0.02775,4.0,0.662800112993185,0.002623777247869996,0.0015395546139520544,0.14890771408427203,3,3,6,0,"{1: 123, 2: 60, 3: 57, 4: 36, 5: 22}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",67,40,27,0.19402985074626866,12,15,8,5,0,2,1,3,0.0007021275637622004,"1.898641,2.499812,3.238838,4.093225",4.212756376220037e-05
step18b_bge_m3_ridge_a3p0_w0p02775_l8p0,ridge_a3p0,0.02775,8.0,0.6631348709968065,0.0029585352514914787,0.001874312617573537,0.14890771408427203,4,4,8,0,"{1: 120, 2: 63, 3: 57, 4: 36, 5: 22}","{1: 132, 2: 68, 3: 44, 4: 31, 5: 23}",61,39,22,0.2786885245901639,16,13,9,8,0,3,2,5,0.001036885567383683,"1.885149,2.499489,3.238726,4.092342",3.688556738368291e-05
step18b_bge_m3_ridge_a3p0_w0p02800_l6p0,ridge_a3p0,0.028,6.0,0.662339819431477,0.0021634836861620377,0.001079261052244096,0.14890771408427203,2,2,4,0,"{1: 122, 2: 61, 3: 57, 4: 36, 5: 22}","{1: 134, 2: 66, 3: 44, 4: 31, 5: 23}",59,37,22,0.2542372881355932,12,13,7,6,0,1,0,1,0.000241834002054242,"1.889606,2.499652,3.241559,4.092364",-7.816599794575802e-05
step18b_bge_m3_ridge_a3p0_w0p02650_l4p0,ridge_a3p0,0.0265,4.0,0.6627634666313126,0.0025871308859976017,0.00150290825207966,0.14890771408427206,1,3,4,0,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",63,38,25,0.20634920634920634,8,15,6,5,0,4,1,5,0.000665481201889806,"1.906039,2.499076,3.247605,4.094342",-0.0001345187981101941
step18b_bge_m3_ridge_a3p0_w0p02600_l6p0,ridge_a3p0,0.026,6.0,0.6622130591530844,0.002036723407769392,0.0009525007738514502,0.14890771408427203,2,2,4,0,"{1: 122, 2: 61, 3: 57, 4: 36, 5: 22}","{1: 134, 2: 66, 3: 44, 4: 31, 5: 23}",55,34,21,0.23636363636363636,12,13,7,6,0,1,0,1,0.00011507372366159618,"1.890970,2.499281,3.235879,4.094986",-0.00020492627633840384
step18b_bge_m3_ridge_a3p0_w0p02650_l6p0,ridge_a3p0,0.0265,6.0,0.6624582336637866,0.002281897918471665,0.001197675284553723,0.14890771408427203,2,3,5,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",62,37,25,0.1935483870967742,9,15,7,5,0,3,1,4,0.0003602482343638691,"1.898613,2.499766,3.245496,4.096265",-0.0003697517656361309
step18b_bge_m3_ridge_a3p0_w0p02800_l8p0,ridge_a3p0,0.028,8.0,0.662712070889439,0.002535735144123974,0.0014515125102060322,0.14890771408427203,4,4,8,0,"{1: 120, 2: 63, 3: 57, 4: 36, 5: 22}","{1: 132, 2: 68, 3: 44, 4: 31, 5: 23}",60,37,23,0.23333333333333334,18,11,9,8,0,3,2,5,0.0006140854600161783,"1.885953,2.499980,3.238245,4.080825",-0.0003859145399838218
step18b_bge_m3_ridge_a3p0_w0p02700_l6p0,ridge_a3p0,0.027,6.0,0.6623368898110762,0.002160554065761211,0.0010763314318432693,0.14890771408427206,2,3,5,0,"{1: 124, 2: 59, 3: 57, 4: 36, 5: 22}","{1: 135, 2: 65, 3: 44, 4: 31, 5: 23}",64,38,26,0.1875,10,15,7,5,0,3,1,4,0.00023890438165341532,"1.904427,2.499968,3.238926,4.093746",-0.0004910956183465846
