id,title,venue,year,authors,doi,Label
0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",iclp,2026,Paul Tarau,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,1
1,Conditionals and Temporal Conditionals for Gradual Argumentation.,iclp,2025,,https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,1
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2025,"Ofer Arieli, Jesse Heyninck",https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,2
3,Agentified Argumentative Learning (short paper).,iclp,2025,,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,1
4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,iclp,2025,Alejandra Casas Niño de Rivera,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,1
5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,iclp,2025,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,2
6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,iclp,2025,,https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,3
7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,iclp,2025,Christian Eichhorn,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,3
8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,iclp,2025,Terri Lindenberg,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,4
9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,1
10,ASP Chef Creates Surveys.,iclp,2025,,https://www.semanticscholar.org/paper/d5f2cec014c85b45fea94485b6e554d34ef687d1,3
11,neXSim: A System for Explaining Nexus of Similarities.,iclp,2025,,https://www.semanticscholar.org/paper/74d9f339477a40f464005794d75a93938d61fef7,4
12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,iclp,2025,,https://www.semanticscholar.org/paper/b07ad7be825bbb717bfb0b8edf221ef232896e3a,4
13,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,iclp,2025,,https://www.semanticscholar.org/paper/16e7436d3cb4f8995a7bd882475fc183914e2409,2
14,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,iclp,2025,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",https://www.semanticscholar.org/paper/e3a41328c54f87564400dc2a3c529f7cb7bdd246,5
15,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,iclp,2025,,https://www.semanticscholar.org/paper/0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,2
16,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.",iclp,2025,Aysu Bogatarkan,10.1609/aaai.v40i48.42143,4
17,Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,iclp,2025,"Son Tran, Edjard Mota, Artur d'Avila Garcez",https://www.semanticscholar.org/paper/2423ca4c3595deb2c6a5014a5e8949e20db06714,5
18,A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,iclp,2025,,https://www.semanticscholar.org/paper/d56c21dd9eec50685a99172f73e1deb039278ba1,5
19,Representing and Evaluating SBVR Specification via ASP.,iclp,2025,"Murali Mohanan, Imran Sarwar Bajwa",https://www.semanticscholar.org/paper/534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,4
20,On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,iclp,2025,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",https://www.semanticscholar.org/paper/ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,4
21,Resource Allocation with Cooperative Agents.,iclp,2025,,https://www.semanticscholar.org/paper/42e7585a4694f6ce54ed757c72c9c12b7a8101f5,2
22,Enhancing Compilation-based ASP Solving.,iclp,2025,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",https://www.semanticscholar.org/paper/0ebf0121a6ce46e479d81d9a509af5f152dc15ed,5
23,Enhancing Compilation-based ASP Solving with Postponed Atom Discovery.,iclp,2025,"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",https://www.semanticscholar.org/paper/1f548ee1a3d356f3eafc547f99a0c6ea12067edf,5
24,Toward Executing Datalog on Big Data Platforms - Extended Abstract.,iclp,2025,Bernard LANG,https://www.semanticscholar.org/paper/d317147d8b63b0cbb05e672d788f730f8b173017,3
25,PEG 2.0: Future-Gazing Through a Socio-Linguistic and Historical Lens.,iclp,2025,,https://www.semanticscholar.org/paper/5ff8a5ac6bf5a1dff86ec2de72e57b60790baaf9,2
26,Learning ASP Domain-specific Heuristics using Transformers.,iclp,2025,Marcello Balduccini,https://www.semanticscholar.org/paper/9240091bc0d23f9411e52ee6fbbe8138d750427e,5
27,Search-Guided Generation of Properties for Program Analyzers.,iclp,2025,Yixuan Liang,https://www.semanticscholar.org/paper/fb2ffaeff737324b34600fe9b270d717528e86c5,4
28,Knowledge-Based Stable Roommates Problems.,iclp,2025,Müge Fidan,10.1609/aaai.v40i48.42148,4
29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,iclp,2025,Xing Xu,https://www.semanticscholar.org/paper/615536c864f8fc6c74d7a4553c900cd9f03ba1fc,4
30,Exploring Digital Twins integration with ASP and ASP Chef.,iclp,2025,Fiona Rossette-Crake,https://www.semanticscholar.org/paper/d3d2b967bf74c83e5d3ce6b9f8045a28146d851f,4
31,Formal Verification of Answer Set Programs Containing Advanced Language Constructs.,iclp,2025,Rolf Schwitter,https://www.semanticscholar.org/paper/ed808e544b428cfad3e1fefd18d3ae36aa6e020b,5
32,The Simple Generative Logic Grammar: A Tool for Teaching Logical Thinking Through Visual Research in Art and Design.,iclp,2025,Susanna Berger,https://www.semanticscholar.org/paper/02c72256e884173e4b85f9878b8e30e4c342e82a,5
33,Answer Set Counting and its Applications to Network Reliability and System Biology.,iclp,2025,Mohimenul Kabir,10.4204/eptcs.416.34,4
34,Precise Exponential-Time Complexity of Non-Monotonic Reasoning.,iclp,2025,Georg Gottlob,https://www.semanticscholar.org/paper/c51090b4b8bcdaf424b9d0f82942f53f899c4103,3
35,Towards Incorporating Normative Requirements In Autonomous Systems Using Datalog.,iclp,2025,"Dorra Zaibi, Meriem Riahi, Faouzi Moussa",https://www.semanticscholar.org/paper/0d275e0df22d539e5afe2267bcc2aa76584a07f4,3
36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,iclp,2025,"N. Mansurov, D. Zhukov",https://www.semanticscholar.org/paper/7aa66cf8977d670bbcf5f9d9b0c40decbac738da,3
37,Decompiling Language Models into Logic Programs.,iclp,2025,,https://www.semanticscholar.org/paper/21ab1f4452fa0e306fb9ddc37ce48f061cbd864f,4
38,Logic and Answer Set Programming in High School: Two Learning Unit Experiences.,iclp,2025,Fabrizio Riguzzi,https://www.semanticscholar.org/paper/c34e38518a4e7c777277dc81b971ef6ddb1e5340,5
39,Exploring Neurosymbolic Systems in Answer Set Programming with an Application to Waste Water Monitoring.,iclp,2025,"Steffen Schieweck, Gabriele Kern-Isberner, Michael ten Hompel",https://www.semanticscholar.org/paper/d149c7135a9db55da33142c52cd72b7d1190149d,5
40,Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,iclp,2025,"Maria Daskolia, Jaume Piera, Karen Soacha",https://www.semanticscholar.org/paper/920945f8a7bddc5ece232eed1a1ff243b66913b5,3
41,When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications - Abstract.,iclp,2025,"Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri",10.1109/icra57147.2024.10610800,5
42,Teaching Prolog and Logic Programming with Jupyter Notebooks.,iclp,2025,,https://www.semanticscholar.org/paper/99cb0723e6cf76da04973b888b0617e92607e546,5
43,A Legal Logic Programming Framework for Autonomous Vehicles.,iclp,2025,"VINEEL TUMMALA, DANIELA INCLEZAN",https://www.semanticscholar.org/paper/89283796e7011f1e43d87fcf9868c7392c36a79f,5
44,UserArmor: An extension for AppArmor.,iclp,2025,"Mario Alviano, Pierpaolo Sestito",https://www.semanticscholar.org/paper/c8df4fe2a371aa84e9e52097094a5a22dc97b023,1
45,Global Type Inference for Java using Answer Set Programming.,iclp,2025,Fabrizio Riguzzi,https://www.semanticscholar.org/paper/a8d0072174a860973275797417309962b721c861,4
46,Platform for Introducing Logic Programming in Bulgarian Secondary Schools - IDEAS (Intelligent Data Educational Analysis System).,iclp,2025,"Veneta Tabakova-Komsalova, Ivan Stoyanov, George Cholakov, Magdalena Maglizhanova",https://www.semanticscholar.org/paper/030cfc31a6318aaa66e597aadada030285aaeb0f,1
47,Research Summary: Explainable Artificial Intelligence in Answer Set Programming and Machine Learning.,iclp,2025,Vladimir Lifschitz,https://www.semanticscholar.org/paper/7ebdfcb9f0a43a41a96d6d7954f1046e5aaee1fd,5
48,ASP and PDDL+ Applications in Urban Traffic Distribution and Control.,iclp,2025,"Sandra Castellanos-Paez, Francesco Percassi, Mauro Vallati",https://www.semanticscholar.org/paper/e6e2eb9bb101d1c73b976b46ecce5d122a49a479,4
49,Early Validation of High-level Requirements on Cyber-Physical Systems.,iclp,2025,Ondřej Vašíček,10.4204/eptcs.416.40,1
50,Probabilistic Declarative Process Mining.,iclp,2025,"Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza",https://www.semanticscholar.org/paper/5b3d9b60bcc94f216f20e4ffdd4105fdaf28ed87,4
51,A Scalable Approach to Probabilistic Compliance in Declarative Process Mining.,iclp,2025,"Christian Sturm, Stefan Schönig, Stefan Jablonski",https://www.semanticscholar.org/paper/67b4a2aadbd97299255c3eabc64cd22d535bff1b,3
52,A Neurosymbolic Approach to Fraud Detection on Financial Data in the Public Administration.,iclp,2025,,https://www.semanticscholar.org/paper/5a369b42aef1d91050d898b678f5737a559d0f35,5
53,Scalable and Ethical Medical Scheduling: An ASP-Based Framework with Patient-Centered Experimental Validation.,iclp,2025,Hongnan Ye,https://www.semanticscholar.org/paper/f3bbae0294c78f79039c31c39dc5c1c2cfc108a8,4
54,On Computing Universal Plans for Partially Observable Multi-Agent Path Finding.,iclp,2025,"Fengming Zhu, Fangzhen Lin",https://www.semanticscholar.org/paper/e93070839656c5ce32e8045c0e863f1f3fac343c,1
55,færdXel: An Expert System for Danish Traffic Law.,iclp,2025,"Luís Cruz-Filipe, Jonas Vistrup",https://www.semanticscholar.org/paper/50483d809c852ff3c370adffe3b88be8c8c047e7,1
56,VERUS-LM: a Versatile Framework for Combining LLMs with Symbolic Reasoning.,iclp,2025,"Benjamin Callewaert, Simon Vandevelde, Joost Vennekens",10.4204/eptcs.439.5,2
57,The Combined Problem of Online Task Assignment and Lifelong Path Finding in Logistics Warehouses: A Case Study.,iclp,2025,"Fengming Zhu, Weijia Xu, Yifei Guo, Fangzhen Lin",https://www.semanticscholar.org/paper/e5ff76754d4abf3706da55f595650315ac0cdad4,1
58,A refined operational semantics for FreeCHR.,iclp,2025,"Sascha Rechenberger, Thom Frühwirth",https://www.semanticscholar.org/paper/37924b7ebd2fe2cc1c3e0e2c90a9de2f5584e422,1
59,VECSR: Virtually Embodied Common Sense Reasoning System.,iclp,2025,"Alexis R. Tudor, Joaquín Arias, Gopal Gupta",10.4204/eptcs.439.7,2
60,A framework for Conditional Reasoning in Answer Set Programming.,iclp,2025,"Mario Alviano, Laura Giordano, Daniele Theseider Dupré",10.4204/eptcs.439.13,4
61,The ASP-based Nurse Scheduling System at the University of Yamanashi Hospital.,iclp,2025,"Hidetomo Nabeshima, Mutsunori Banbara, Torsten Schaub, Takehide Soh",10.4204/eptcs.439.23,3
62,Machine Learning Model Integration with Open World Temporal Logic for Process Automation.,iclp,2025,"Dyuman Aditya, Colton Payne, Mario Leiva, Paulo Shakarian",10.4204/eptcs.439.4,2
63,Interpretable Hybrid Machine Learning Models Using FOLD-R++ and Answer Set Programming.,iclp,2025,"Sanne Wielinga, Jesse Heyninck",10.4204/eptcs.439.9,5
64,An ASP-Based Framework for MUSes.,iclp,2025,"Mohimenul Kabir, Kuldeep S Meel",10.4204/eptcs.439.3,4
65,A Simple and Effective ASP-Based Tool for Enumerating Minimal Hitting Sets.,iclp,2025,"Mohimenul Kabir, Kuldeep S Meel",10.4204/eptcs.439.17,5
66,Reasoning about Medical Triage Optimization with Logic Programming.,iclp,2025,"Jaikrishna Manojkumar Patil, Adam Chapman, Richard Knuszka, John Chapman, Paulo Shakarian",10.4204/eptcs.439.22,3
67,Picat Through the Lens of Advent of Code.,iclp,2025,"Neng-Fa Zhou, Cristian Grozea, Håkan Kjellerstrand, Oisín Mac Fhearaí",10.4204/eptcs.439.36,1
68,An LLM + ASP Workflow for Joint Entity-Relation Extraction.,iclp,2025,"Trang Tran, Trung Hoang Le, Huiping Cao, Tran Cao Son",10.4204/eptcs.439.6,4
69,Extracting Policies from Quantified Answer Set Programs.,iclp,2025,"Martín Diéguez, Igor Stéphan",10.4204/eptcs.439.16,5
70,Logic Programming with Extensible Types.,iclp,2025,"Ivan Perez, Angel Herranz",10.4204/eptcs.439.18,3
71,Logic Tensor Network-Enhanced Generative Adversarial Network.,iclp,2025,"Nijesh Upreti, Vaishak Belle",10.4204/eptcs.439.8,3
72,Defeasible Conditionals using Answer Set Programming.,iclp,2025,"Racquel Dennison, Jesse Heyninck, Thomas Meyer",10.4204/eptcs.439.15,5
73,Fixpoint Semantics for DatalogMTL with Negation.,iclp,2025,Samuele Pollaci,10.4204/eptcs.439.19,2
74,On the Trap Space Semantics of Normal Logic Programs.,iclp,2025,"Van-Giang Trinh, Sylvain Soliman, François Fages, Belaid Benhamou",10.4204/eptcs.439.21,4
75,"XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions.",iclp,2025,"Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo",10.4204/eptcs.439.28,5
76,Formally Explaining Decision Tree Models with Answer Set Programming.,iclp,2025,"Akihiro Takemura, Masayuki Otani, Katsumi Inoue",10.4204/eptcs.439.29,5
77,xDNN(ASP): Explanation Generation System for Deep Neural Networks powered by Answer Set Programming.,iclp,2025,"Ly Ly Trieu, Tran Cao Son",10.4204/eptcs.439.30,5
78,Implementing the First-Order Logic of Here and There.,iclp,2025,"Jens Otten, Torsten Schaub",10.4204/eptcs.439.31,2
79,Automated Theorem Proving for Prolog Verification.,iclp,2025,"Fred Mesnard, Thierry Marianne, Etienne Payet",10.29007/c25r,3
80,Investigating the Grounding Bottleneck for a Large-Scale Configuration Problem: Existing Tools and Constraint-Aware Guessing.,iclp,2025,"Veronika Semmelrock, Gerhard Friedrich",10.4204/eptcs.439.33,1
81,On Zeno-like Behaviors in the Event Calculus with Goal-directed Answer Set Programming.,iclp,2025,"Ondřej Vašíček, Joaquin Arias, Jan Fiedor, Gopal Gupta, Brendan Hall, Bohuslav Křena, Brian Larson, Tomáš Vojnar",10.4204/eptcs.439.34,2
82,Inductive First-Order Formula Synthesis by ASP: A Case Study in Invariant Inference.,iclp,2025,"Ziyi Yang, George Pîrlea, Ilya Sergey",10.4204/eptcs.439.35,3
83,Correcting Autonomous Driving Object Detection Misclassifications with Automated Commonsense Reasoning.,iclp,2025,"Keegan Kimbrell, Wang Tianhao, Feng Chen, Gopal Gupta",10.4204/eptcs.439.10,2
84,Propositional Abduction via Only-Knowing: A Non-Monotonic Approach.,iclp,2025,"Sanderson Molick, Vaishak Belle",10.4204/eptcs.439.2,3
85,Hybrid MKNF for Aeronautics Applications: Usage and Heuristics.,iclp,2025,"Arun Raveendran Nair Sheela, Florence De Grancey, Christophe Rey, Victor Charpenay",10.4204/eptcs.439.24,1
86,An ASP-based Solution to the Medical Appointment Scheduling Problem.,iclp,2025,"Alina Vozna, Andrea Monaldini, Stefania Costantini, Valentina Pitoni, Dawid Pado",10.4204/eptcs.439.25,5
87,"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025.",iclp,2025,"José Júlio Alferes, Luís Moniz Pereira",https://www.semanticscholar.org/paper/491ddddaf4b898429670ffb3182dde86d20d71af,1
